# Physical_Baseline=685.16pF, Trigger_Distance=8.0cm, Atten_Ratio=0.64
Raw_Capacitance(pF),Normalized_Capacitance(pF)
685.197,685.182
685.190,685.178
685.184,685.175
685.181,685.173
685.176,685.170
685.180,685.172
685.183,685.174
685.180,685.172
685.175,685.169
685.179,685.171
685.174,685.168
685.170,685.165
685.174,685.168
685.172,685.167
685.176,685.169
685.172,685.166
685.175,685.169
685.179,685.171
685.174,685.168
685.172,685.167
685.168,685.164
685.164,685.162
685.161,685.160
685.158,685.158
685.155,685.156
685.153,685.154
685.151,685.153
685.157,685.157
685.162,685.160
685.161,685.160
685.166,685.163
685.163,685.161
685.159,685.159
685.159,685.158
685.156,685.157
685.153,685.155
685.161,685.160
685.166,685.163
685.171,685.166
685.175,685.169
685.173,685.167
685.169,685.165
685.173,685.167
685.169,685.165
685.165,685.162
685.162,685.160
685.159,685.158
685.150,685.153
685.148,685.151
685.146,685.150
685.156,685.156
685.153,685.155
685.153,685.155
685.151,685.153
685.157,685.157
685.154,685.155
685.160,685.159
685.165,685.162
685.170,685.165
685.168,685.164
685.164,685.162
685.169,685.165
685.173,685.168
685.171,685.166
685.167,685.164
685.164,685.161
685.155,685.156
685.152,685.154
685.150,685.153
685.148,685.151
685.149,685.152
685.147,685.151
685.145,685.150
685.144,685.149
685.142,685.148
685.140,685.146
685.139,685.146
685.140,685.147
685.139,685.146
685.138,685.145
685.138,685.145
685.137,685.144
685.130,685.140
685.130,685.140
685.130,685.140
685.130,685.140
685.132,685.141
685.132,685.141
685.132,685.141
685.131,685.141
685.131,685.141
685.131,685.141
685.139,685.146
685.138,685.145
685.139,685.146
685.138,685.145
685.146,685.150
685.144,685.149
685.145,685.149
685.143,685.148
685.134,685.142
685.134,685.142
685.125,685.137
685.125,685.137
685.126,685.137
685.126,685.137
685.126,685.138
685.127,685.138
685.129,685.139
685.129,685.139
685.129,685.139
685.129,685.139
685.129,685.139
685.129,685.139
685.129,685.139
685.121,685.134
685.116,685.131
685.120,685.133
685.121,685.134
685.130,685.140
685.130,685.140
685.130,685.140
685.130,685.140
685.130,685.140
685.130,685.140
685.102,685.122
685.105,685.124
685.101,685.122
685.104,685.123
685.098,685.120
685.101,685.122
685.106,685.125
685.109,685.126
685.110,685.127
685.104,685.123
685.107,685.125
685.101,685.121
685.103,685.123
685.098,685.119
685.093,685.116
685.088,685.113
685.092,685.116
685.096,685.118
685.099,685.120
685.096,685.118
685.099,685.120
685.102,685.122
685.105,685.124
685.099,685.120
685.102,685.122
685.099,685.120
685.096,685.118
685.093,685.116
685.089,685.113
685.093,685.116
685.088,685.113
685.084,685.110
685.083,685.109
685.081,685.109
685.078,685.106
685.083,685.110
685.087,685.112
685.091,685.115
685.097,685.119
685.092,685.116
685.096,685.118
685.099,685.120
685.094,685.117
685.097,685.119
685.092,685.116
685.096,685.118
685.091,685.115
685.094,685.117
685.090,685.114
685.094,685.117
685.097,685.119
685.092,685.116
685.088,685.113
685.094,685.117
685.089,685.114
685.085,685.111
685.089,685.114
685.085,685.111
685.083,685.110
685.088,685.113
685.092,685.115
685.095,685.118
685.091,685.115
685.088,685.113
685.087,685.112
685.085,685.111
685.089,685.114
685.085,685.111
685.081,685.109
685.086,685.112
685.090,685.114
685.094,685.117
685.089,685.114
685.085,685.111
685.089,685.114
685.085,685.111
685.081,685.109
685.086,685.111
685.092,685.116
685.088,685.113
685.084,685.110
685.088,685.113
685.084,685.110
685.080,685.108
685.085,685.111
685.081,685.108
685.080,685.108
685.077,685.106
685.074,685.104
685.079,685.107
685.076,685.105
685.073,685.103
685.072,685.103
685.070,685.101
685.075,685.105
685.081,685.108
685.077,685.106
