# Physical_Baseline=686.29pF, Trigger_Distance=161.0cm, Atten_Ratio=259.21
Raw_Capacitance(pF),Normalized_Capacitance(pF)
686.296,688.426
686.289,686.638
686.293,687.730
686.294,688.078
686.298,689.027
686.293,687.809
686.295,688.141
686.290,687.018
686.294,688.078
686.298,689.027
686.299,689.249
686.302,690.087
686.297,688.774
686.301,689.660
686.304,690.467
686.307,691.195
686.309,691.859
686.309,691.812
686.303,690.340
686.304,690.435
686.306,691.163
686.298,689.106
686.302,689.961
686.302,690.087
686.305,690.847
686.297,688.821
686.293,687.635
686.297,688.632
686.292,687.461
686.296,688.473
686.292,687.318
686.288,686.274
686.297,688.837
686.293,687.635
686.294,687.983
686.290,686.875
686.292,687.303
686.287,686.258
686.281,684.676
686.286,685.958
686.288,686.480
686.282,684.866
686.279,684.044
686.282,684.740
686.279,683.933
686.281,684.645
686.278,683.854
686.281,684.566
686.286,685.863
686.288,686.385
686.284,685.420
686.281,684.550
686.283,685.198
686.280,684.344
686.283,685.009
686.287,686.258
686.289,686.749
686.294,687.825
686.295,688.157
686.298,689.106
686.294,687.888
686.289,686.781
686.278,683.727
686.281,684.455
686.286,685.752
686.288,686.290
686.284,685.341
686.286,685.910
686.283,684.993
686.279,684.170
686.285,685.499
686.281,684.629
686.284,685.278
686.288,686.496
686.290,686.955
686.294,688.015
686.295,688.331
686.299,689.264
686.292,687.398
686.288,686.338
686.284,685.388
686.281,684.518
686.286,685.815
686.282,684.914
686.287,686.179
686.292,687.318
686.296,688.347
686.264,680.215
686.271,681.924
686.269,681.386
686.267,680.895
686.265,680.452
686.261,679.424
686.260,679.123
686.264,680.294
686.263,679.914
686.270,681.655
686.265,680.500
686.264,680.104
686.262,679.740
686.267,680.848
686.265,680.421
686.269,681.465
686.275,683.047
686.270,681.765
686.268,681.243
686.266,680.769
686.262,679.709
686.261,679.376
686.265,680.515
686.272,682.193
686.278,683.711
686.280,684.439
686.277,683.664
686.280,684.392
686.277,683.616
686.275,682.920
686.272,682.287
686.278,683.790
686.281,684.518
686.286,685.815
686.280,684.265
686.274,682.873
686.280,684.328
686.275,682.920
686.272,682.287
686.276,683.158
686.273,682.509
686.271,681.924
686.274,682.825
686.272,682.208
686.267,681.006
686.266,680.563
686.264,680.152
686.260,679.139
686.267,680.943
686.271,681.939
686.277,683.474
686.280,684.218
686.277,683.458
686.282,684.850
686.276,683.395
686.274,682.715
686.277,683.537
686.274,682.841
686.272,682.224
686.270,681.655
686.268,681.148
686.263,680.041
686.270,681.765
686.276,683.316
686.274,682.651
686.279,684.123
686.274,682.730
686.271,682.113
686.267,680.927
686.265,680.484
686.264,680.088
686.260,679.092
686.259,678.823
686.255,677.937
686.255,677.778
686.254,677.636
686.251,676.861
686.251,676.798
686.251,676.750
686.256,678.142
686.255,677.968
686.260,679.250
686.259,678.965
686.256,678.063
686.253,677.256
686.252,677.161
686.258,678.506
686.257,678.301
686.256,678.111
686.253,677.304
686.253,677.209
686.258,678.554
686.257,678.332
686.256,678.142
686.253,677.320
686.253,677.225
686.250,676.497
686.250,676.481
686.250,676.465
686.258,678.522
686.257,678.301
686.254,677.462
686.253,677.351
686.253,677.256
686.250,676.529
686.250,676.497
686.255,677.905
686.255,677.747
686.254,677.604
686.259,678.918
686.258,678.664
686.263,679.867
686.261,679.519
686.258,678.570
686.257,678.348
686.256,678.158
686.261,679.408
686.260,679.107
686.256,678.206
686.256,678.016
686.263,679.930
686.270,681.655
686.268,681.148
686.274,682.762
686.272,682.145
686.275,683.015
686.272,682.367
686.276,683.221
686.273,682.556
686.271,681.955
686.266,680.784
686.265,680.357
686.261,679.329
686.260,679.044
686.259,678.775
686.263,679.978
686.262,679.630
686.258,678.680
686.257,678.459
686.249,676.181
686.254,677.620
686.254,677.494
686.253,677.383
686.250,676.639
686.250,676.608
686.256,678.016
686.255,677.858
686.246,675.627
686.252,677.130
686.252,677.051
686.249,676.339
686.249,676.339
686.249,676.339
686.255,677.763
686.254,677.620
686.251,676.861
686.251,676.798
686.251,676.750
686.256,678.142
686.255,677.968
686.255,677.810
686.260,679.107
686.259,678.838
686.263,680.025
686.262,679.661
686.261,679.345
686.265,680.484
686.264,680.088
686.262,679.724
686.267,680.832
686.265,680.405
686.261,679.376
686.260,679.076
686.256,678.174
686.256,678.000
686.255,677.842
686.252,677.051
686.252,676.972
686.251,676.908
686.249,676.212
686.249,676.212
686.246,675.579
686.247,675.643
686.247,675.706
686.253,677.193
686.252,677.098
686.252,677.019
686.257,678.380
686.256,678.174
686.261,679.424
686.268,681.212
686.266,680.737
686.270,681.750
686.268,681.227
686.266,680.753
686.265,680.326
686.263,679.946
686.259,678.965
686.258,678.712
686.257,678.475
686.254,677.620
686.254,677.494
686.253,677.383
686.253,677.272
686.252,677.177
686.258,678.522
686.257,678.301
686.256,678.111
686.255,677.937
686.255,677.778
686.260,679.076
686.259,678.807
686.258,678.570
686.257,678.348
686.256,678.158
686.256,677.984
686.255,677.826
686.252,677.035
686.252,676.956
686.251,676.892
686.249,676.196
686.249,676.196
686.246,675.564
686.246,675.627
686.247,675.690
686.244,675.105
686.237,673.143
686.238,673.444
686.237,673.080
686.238,673.380
686.236,673.016
686.238,673.333
686.239,673.618
686.237,673.238
686.238,673.523
686.239,673.792
686.238,673.396
686.239,673.665
686.240,673.918
686.238,673.507
686.239,673.776
686.240,674.013
686.241,674.235
686.242,674.424
686.248,676.038
686.248,676.054
686.248,676.070
686.246,675.453
686.246,675.532
686.238,673.523
686.237,673.143
686.238,673.444
686.239,673.712
686.238,673.317
686.239,673.602
686.237,673.222
686.238,673.507
686.239,673.776
686.238,673.380
686.239,673.649
686.232,671.830
686.231,671.608
686.233,672.051
686.234,672.447
686.233,672.178
686.235,672.573
686.236,672.921
686.235,672.605
686.228,670.881
686.230,671.387
686.229,671.213
686.231,671.687
686.230,671.482
686.232,671.941
686.234,672.352
686.225,670.010
686.227,670.612
686.221,669.077
686.221,669.124
686.216,667.732
686.219,668.539
686.219,668.634
686.222,669.362
686.225,670.026
686.233,672.051
686.234,672.447
686.236,672.811
686.226,670.422
686.221,668.903
686.221,668.966
686.229,671.102
686.231,671.592
686.225,669.963
686.224,669.931
686.227,670.532
686.229,671.086
686.231,671.577
686.233,672.020
686.240,673.855
686.241,674.092
686.233,672.225
686.232,671.972
686.234,672.384
686.227,670.675
686.227,670.564
686.229,671.102
686.231,671.592
686.230,671.403
686.229,671.229
686.231,671.703
686.225,670.058
686.225,670.010
686.227,670.612
686.227,670.517
686.226,670.422
686.229,670.975
686.228,670.849
686.230,671.371
686.232,671.830
686.231,671.608
686.233,672.051
686.234,672.447
686.233,672.178
686.235,672.573
686.236,672.921
686.235,672.605
686.236,672.953
686.237,673.269
686.228,670.849
686.230,671.371
686.232,671.830
686.231,671.608
686.233,672.051
686.234,672.447
686.233,672.178
686.235,672.573
686.228,670.849
686.228,670.722
686.222,669.172
686.224,669.852
686.224,669.821
686.226,670.438
686.229,670.991
686.228,670.849
686.230,671.371
686.224,669.757
686.232,671.814
686.233,672.241
686.235,672.621
686.234,672.336
686.235,672.716
686.237,673.048
686.235,672.716
686.237,673.048
686.230,671.276
686.221,669.045
686.221,669.093
686.216,667.701
686.219,668.523
686.219,668.618
686.222,669.346
686.225,670.010
686.217,667.890
686.212,666.609
686.215,667.527
686.216,667.716
686.211,666.451
686.215,667.384
686.218,668.223
686.218,668.349
686.213,667.020
686.214,667.258
686.215,667.479
686.218,668.318
686.213,667.004
686.220,668.840
686.215,667.463
686.216,667.669
686.219,668.492
686.222,669.235
686.222,669.267
686.216,667.859
686.220,668.666
686.220,668.745
686.215,667.384
686.210,666.150
686.211,666.482
686.215,667.416
686.218,668.254
686.221,669.014
686.224,669.710
686.224,669.694
686.234,672.399
686.235,672.763
686.234,672.463
686.236,672.827
686.237,673.159
686.236,672.811
686.237,673.143
686.236,672.811
686.234,672.494
686.236,672.858
686.235,672.542
686.233,672.257
686.227,670.564
686.229,671.102
686.228,670.960
686.222,669.393
686.225,670.042
686.219,668.555
686.222,669.283
686.222,669.314
686.217,667.906
686.220,668.697
686.228,670.849
686.230,671.371
686.232,671.830
686.223,669.536
686.223,669.536
686.225,670.184
686.220,668.681
686.220,668.761
686.215,667.400
686.210,666.166
686.203,664.410
686.210,666.071
686.213,667.036
686.214,667.273
686.210,666.055
686.205,664.948
686.207,665.391
686.203,664.346
686.207,665.486
686.211,666.514
686.215,667.447
686.216,667.653
686.219,668.476
686.214,667.147
686.215,667.384
686.215,667.590
686.211,666.340
686.214,667.289
686.215,667.511
686.218,668.349
686.219,668.460
686.219,668.571
686.222,669.298
686.222,669.330
686.225,669.995
686.227,670.596
686.227,670.501
686.229,671.055
686.231,671.545
686.230,671.355
686.232,671.830
686.233,672.257
686.227,670.564
686.227,670.469
686.221,668.950
686.223,669.647
686.223,669.647
686.226,670.279
686.226,670.216
686.225,670.153
686.228,670.738
686.222,669.188
686.222,669.219
686.224,669.884
686.219,668.412
686.219,668.523
686.214,667.178
686.217,668.049
686.218,668.191
686.221,668.966
686.215,667.590
686.216,667.780
686.219,668.587
686.214,667.242
686.215,667.463
686.218,668.302
686.219,668.428
686.222,669.172
686.224,669.852
686.224,669.821
686.226,670.438
686.221,668.919
686.213,666.909
686.216,667.795
686.211,666.530
686.207,665.375
686.208,665.770
686.212,666.767
686.208,665.596
686.209,665.976
686.213,666.957
686.208,665.770
686.210,666.134
686.214,667.099
686.214,667.337
686.207,665.470
686.211,666.498
686.212,666.783
686.213,667.052
686.217,667.922
686.217,668.080
686.210,666.150
686.214,667.115
686.209,665.913
686.210,666.261
686.214,667.210
686.209,665.992
686.203,664.252
686.199,663.318
686.196,662.480
686.193,661.720
686.188,660.391
686.185,659.822
686.192,661.388
686.195,662.163
686.200,663.508
686.204,664.726
686.201,663.745
686.195,662.226
686.192,661.483
686.189,660.818
686.193,661.657
686.195,662.416
686.201,663.729
686.205,664.916
686.207,665.359
686.211,666.403
686.214,667.337
686.215,667.542
686.208,665.660
686.204,664.600
686.200,663.635
686.202,664.204
686.199,663.271
686.204,664.505
686.205,664.979
686.210,666.055
686.213,667.020
686.206,665.185
686.200,663.524
686.204,664.742
686.206,665.201
686.200,663.540
686.196,662.669
686.193,661.894
686.196,662.622
686.201,663.919
686.198,663.018
686.200,663.635
686.197,662.764
686.202,664.046
686.196,662.495
686.201,663.809
686.205,664.995
686.207,665.422
686.211,666.451
686.215,667.384
686.215,667.590
686.219,668.412
686.221,669.156
686.222,669.188
686.224,669.868
686.227,670.485
686.226,670.390
686.228,670.944
686.228,670.817
686.230,671.339
686.232,671.814
686.231,671.592
686.225,669.963
686.227,670.564
686.227,670.469
686.229,671.023
686.223,669.441
686.223,669.457
686.225,670.105
686.227,670.691
686.227,670.580
686.227,670.485
686.229,671.039
686.236,672.969
686.237,673.285
686.239,673.570
686.237,673.190
686.230,671.403
686.224,669.789
686.224,669.773
686.226,670.390
686.220,668.871
686.221,668.935
686.223,669.631
686.226,670.264
686.226,670.200
686.228,670.786
686.222,669.235
686.222,669.267
686.216,667.859
686.220,668.666
686.220,668.745
686.223,669.457
686.225,670.105
686.225,670.058
686.219,668.571
686.222,669.298
686.222,669.330
686.222,669.346
686.217,667.922
686.217,668.080
686.218,668.223
686.221,668.982
686.224,669.678
686.215,667.590
686.211,666.340
686.206,665.201
686.208,665.612
686.204,664.552
686.200,663.587
686.202,664.157
686.199,663.239
686.203,664.473
686.205,664.964
686.207,665.407
686.211,666.435
686.215,667.368
686.215,667.574
686.219,668.397
686.221,669.140
686.222,669.188
686.216,667.780
686.219,668.587
686.220,668.681
686.220,668.761
686.223,669.472
686.217,668.049
686.210,666.118
686.206,665.011
686.210,666.087
686.211,666.419
686.204,664.647
686.208,665.755
686.202,664.046
686.204,664.568
686.208,665.675
686.212,666.688
686.213,666.957
686.216,667.843
686.220,668.650
686.220,668.745
686.223,669.457
686.217,668.033
686.218,668.175
686.218,668.302
686.221,669.061
686.216,667.669
686.216,667.843
686.211,666.561
686.215,667.479
686.218,668.318
686.213,667.004
686.214,667.242
686.215,667.463
686.218,668.302
686.211,666.340
686.206,665.201
686.210,666.261
686.212,666.577
686.215,667.495
686.218,668.333
686.221,669.093
686.221,669.140
686.216,667.748
686.217,667.922
686.220,668.713
686.223,669.425
686.223,669.441
686.225,670.089
686.219,668.602
686.220,668.697
686.223,669.425
686.225,670.074
686.225,670.026
686.225,669.979
686.227,670.580
686.227,670.485
686.226,670.390
686.220,668.871
686.223,669.583
686.223,669.583
686.226,670.216
686.225,670.153
686.228,670.738
686.222,669.188
686.222,669.219
686.216,667.811
686.219,668.618
686.220,668.713
686.223,669.425
686.217,668.001
686.218,668.144
686.221,668.919
686.223,669.615
686.223,669.615
686.226,670.248
686.228,670.817
686.227,670.691
686.229,671.229
686.223,669.631
686.223,669.631
686.226,670.264
686.228,670.833
686.227,670.707
686.221,669.156
686.224,669.836
686.224,669.805
686.226,670.422
686.221,668.903
686.221,668.966
686.223,669.662
686.226,670.295
686.218,668.144
686.221,668.919
686.223,669.615
686.223,669.615
686.226,670.248
686.228,670.817
686.227,670.691
686.229,671.229
686.231,671.703
686.233,672.130
686.227,670.453
686.234,672.447
686.236,672.811
686.229,671.070
686.220,668.855
686.223,669.567
686.218,668.128
686.218,668.270
686.221,669.029
686.224,669.726
686.224,669.710
686.224,669.694
686.226,670.327
686.234,672.336
686.233,672.067
686.226,670.390
686.228,670.944
686.228,670.817
686.222,669.267
686.224,669.931
686.232,671.972
686.234,672.384
686.235,672.747
686.234,672.447
686.236,672.811
686.237,673.143
686.236,672.811
686.237,673.143
686.244,674.883
686.242,674.377
686.242,674.551
686.248,676.149
686.249,676.165
686.249,676.181
686.246,675.548
686.246,675.611
686.247,675.674
686.244,675.089
686.245,675.200
686.245,675.295
686.251,676.829
686.251,676.782
686.248,676.101
686.246,675.484
686.246,675.564
686.244,674.994
686.245,675.121
686.237,673.159
686.236,672.811
686.237,673.143
686.238,673.444
686.237,673.080
686.230,671.308
686.224,669.710
686.224,669.694
686.218,668.238
686.221,668.998
686.221,669.045
686.216,667.653
686.211,666.403
686.204,664.631
686.208,665.739
686.212,666.735
686.213,667.004
686.214,667.242
686.209,666.024
686.211,666.356
686.214,667.305
686.210,666.087
686.211,666.419
686.215,667.352
686.210,666.118
686.211,666.451
686.207,665.312
686.211,666.356
686.212,666.656
686.215,667.574
686.211,666.324
686.204,664.552
686.208,665.660
686.212,666.672
686.213,666.941
686.216,667.827
686.219,668.634
686.220,668.729
686.220,668.808
686.215,667.447
686.218,668.286
686.213,666.973
686.208,665.786
686.210,666.150
686.214,667.115
686.209,665.913
686.210,666.261
686.206,665.138
686.202,664.125
686.204,664.647
686.200,663.682
686.197,662.796
686.199,663.445
686.196,662.590
686.201,663.888
686.203,664.426
686.208,665.549
686.203,664.489
686.205,664.979
686.199,663.334
686.196,662.495
686.198,663.176
686.201,663.777
686.205,664.964
686.209,666.039
686.203,664.299
686.199,663.366
686.204,664.600
686.206,665.074
686.210,666.134
686.216,667.637
686.211,666.387
686.220,668.761
686.223,669.472
686.217,668.049
686.210,666.118
686.214,667.084
686.214,667.321
686.215,667.542
686.219,668.381
686.219,668.492
686.214,667.163
686.217,668.033
686.218,668.175
686.221,668.950
686.215,667.574
686.216,667.764
686.217,667.938
686.212,666.656
686.213,666.941
686.214,667.194
686.217,668.064
686.220,668.840
686.221,668.903
686.215,667.527
686.213,666.973
686.208,665.786
686.204,664.710
686.198,663.097
686.203,664.346
686.199,663.397
686.210,666.055
686.213,667.020
686.217,667.906
686.220,668.697
686.220,668.776
686.223,669.488
686.225,670.137
686.225,670.089
686.219,668.602
686.214,667.258
686.215,667.479
686.210,666.245
686.206,665.122
686.208,665.549
686.209,665.929
686.213,666.909
686.216,667.795
686.217,667.969
686.220,668.761
686.210,666.071
686.205,664.964
686.207,665.407
686.211,666.435
686.215,667.368
686.215,667.574
686.216,667.764
686.211,666.498
686.207,665.359
686.200,663.682
686.205,664.884
686.201,663.888
686.203,664.426
686.208,665.549
686.203,664.489
686.197,662.891
686.194,662.084
686.191,661.356
686.189,660.692
686.192,661.530
686.198,662.938
686.194,662.132
686.192,661.404
686.189,660.739
686.184,659.505
686.188,660.455
686.186,659.885
686.192,661.451
686.195,662.226
686.192,661.483
686.197,662.891
686.200,663.524
686.202,664.093
686.206,665.248
686.210,666.292
686.212,666.609
686.207,665.454
686.203,664.410
686.205,664.900
686.201,663.904
686.198,663.002
686.200,663.619
686.205,664.821
686.209,665.913
686.210,666.261
686.214,667.210
686.217,668.080
686.218,668.223
686.210,666.277
686.206,665.153
686.210,666.213
686.211,666.530
686.215,667.463
686.210,666.229
686.211,666.546
686.215,667.479
686.218,668.318
686.219,668.444
686.219,668.555
686.222,669.283
686.217,667.875
686.209,665.960
686.205,664.869
686.201,663.872
686.206,665.058
686.199,663.413
686.204,664.631
686.208,665.739
686.210,666.103
686.213,667.068
686.217,667.938
686.217,668.096
686.212,666.799
686.216,667.701
686.211,666.435
686.212,666.735
686.208,665.565
686.204,664.505
686.205,664.979
686.202,663.983
686.198,663.081
686.200,663.698
686.205,664.900
686.209,665.976
686.211,666.324
686.214,667.273
686.215,667.495
686.210,666.261
686.206,665.138
686.208,665.565
686.204,664.505
686.208,665.628
686.209,666.008
686.213,666.989
686.217,667.875
686.217,668.033
686.220,668.824
686.223,669.536
686.223,669.536
686.225,670.184
686.228,670.770
686.227,670.659
686.227,670.548
686.221,669.014
686.216,667.621
686.208,665.739
686.204,664.663
686.208,665.770
686.202,664.062
686.204,664.584
686.208,665.691
686.212,666.704
686.213,666.973
686.216,667.859
686.220,668.666
686.220,668.745
686.223,669.457
686.217,668.033
686.218,668.175
686.221,668.950
686.215,667.574
686.216,667.764
686.219,668.571
686.214,667.226
686.207,665.375
686.208,665.770
686.212,666.767
686.216,667.669
686.216,667.843
686.211,666.561
686.213,666.846
686.216,667.748
686.219,668.555
686.220,668.650
686.214,667.305
686.210,666.087
686.211,666.419
686.212,666.720
686.216,667.621
686.211,666.372
686.212,666.672
686.207,665.501
686.211,666.530
686.212,666.815
686.208,665.644
686.212,666.656
686.213,666.941
686.216,667.827
686.219,668.634
686.220,668.729
686.220,668.808
686.215,667.447
686.218,668.286
686.211,666.340
686.206,665.201
686.210,666.261
686.212,666.577
686.215,667.495
686.210,666.261
686.204,664.505
686.197,662.907
686.194,662.100
686.191,661.372
686.186,660.075
686.192,661.609
686.190,660.929
686.187,660.312
686.191,661.198
686.188,660.549
686.186,659.964
686.190,660.882
686.195,662.353
686.192,661.594
686.195,662.353
686.200,663.682
686.205,664.884
686.199,663.255
686.195,662.416
686.201,663.729
686.203,664.283
686.207,665.422
686.203,664.378
686.205,664.869
686.207,665.312
686.211,666.356
686.214,667.305
686.215,667.527
686.218,668.365
686.221,669.124
686.222,669.172
686.214,667.131
686.209,665.929
686.210,666.277
686.212,666.593
686.207,665.438
686.211,666.467
686.204,664.679
686.200,663.698
686.197,662.812
686.202,664.093
686.204,664.615
686.200,663.650
686.205,664.853
686.199,663.223
686.195,662.385
686.192,661.625
686.190,660.945
686.193,661.768
686.190,661.072
686.188,660.439
686.186,659.869
686.189,660.787
686.195,662.258
686.192,661.515
686.187,660.201
686.185,659.648
686.183,659.157
686.189,660.787
686.192,661.625
686.198,663.018
686.195,662.195
686.189,660.818
686.195,662.290
686.192,661.546
686.190,660.866
686.193,661.689
686.190,660.992
686.196,662.448
686.198,663.128
686.193,661.673
686.190,660.992
686.196,662.448
686.198,663.128
686.195,662.306
686.192,661.562
686.195,662.321
686.192,661.578
686.198,662.970
686.203,664.236
686.207,665.375
686.211,666.419
686.207,665.280
686.208,665.691
686.204,664.615
686.208,665.723
686.210,666.087
686.203,664.346
686.207,665.486
686.211,666.514
686.204,664.726
686.201,663.745
686.197,662.859
686.200,663.492
686.196,662.638
686.193,661.863
686.196,662.590
686.199,663.255
686.203,664.489
686.208,665.612
686.209,665.992
686.205,664.900
686.201,663.904
686.211,666.514
686.204,664.726
686.209,665.818
686.204,664.742
686.206,665.201
686.202,664.172
686.199,663.239
686.201,663.840
686.198,662.938
686.194,662.132
686.197,662.844
686.202,664.125
686.207,665.280
686.208,665.691
686.210,666.055
686.213,667.020
686.217,667.906
686.217,668.064
686.220,668.840
686.223,669.552
686.215,667.479
686.218,668.318
686.221,669.077
686.221,669.124
686.224,669.805
686.224,669.789
686.224,669.773
686.226,670.390
686.228,670.944
686.228,670.817
686.230,671.339
686.229,671.165
686.229,671.007
686.223,669.425
686.223,669.441
686.223,669.457
686.225,670.105
686.227,670.691
686.227,670.580
686.229,671.118
686.231,671.608
686.230,671.418
686.232,671.877
686.234,672.289
686.233,672.035
686.234,672.431
686.228,670.722
686.227,670.612
686.221,669.077
686.224,669.757
686.224,669.741
686.226,670.358
686.228,670.928
686.228,670.801
686.227,670.691
686.229,671.229
686.223,669.631
686.223,669.631
686.226,670.264
686.220,668.761
686.220,668.840
686.223,669.552
686.225,670.184
686.225,670.121
686.227,670.707
686.229,671.229
686.229,671.070
686.228,670.928
686.230,671.434
686.224,669.821
686.224,669.789
686.218,668.333
686.213,667.004
686.214,667.242
686.207,665.391
686.211,666.419
686.215,667.352
686.207,665.486
686.203,664.441
686.200,663.492
686.194,661.989
686.199,663.350
686.204,664.584
686.200,663.619
686.194,662.116
686.192,661.388
686.189,660.724
686.184,659.489
686.180,658.366
686.178,657.986
686.185,659.727
686.189,660.660
686.194,662.147
686.200,663.492
686.202,664.078
686.204,664.600
686.200,663.635
686.197,662.764
686.191,661.341
686.197,662.764
686.194,661.973
686.191,661.261
686.194,662.052
686.199,663.413
686.204,664.631
686.208,665.739
686.202,664.030
686.206,665.201
686.202,664.172
686.204,664.679
686.200,663.698
686.197,662.812
686.194,662.021
686.197,662.733
686.194,661.942
686.191,661.230
686.194,662.021
686.191,661.293
686.189,660.644
686.192,661.499
686.197,662.907
686.194,662.100
686.197,662.812
686.202,664.093
686.206,665.248
686.200,663.587
686.205,664.789
686.201,663.809
686.197,662.923
686.200,663.555
686.197,662.685
686.191,661.261
686.194,662.052
686.191,661.325
686.189,660.676
686.192,661.515
686.195,662.274
686.192,661.530
686.226,670.248
686.220,668.745
686.212,666.751
686.216,667.653
686.211,666.403
686.212,666.704
686.213,666.973
686.208,665.786
686.204,664.710
686.206,665.169
686.208,665.581
686.204,664.521
686.200,663.555
686.202,664.125
686.204,664.647
686.200,663.682
686.197,662.796
686.199,663.445
686.196,662.590
686.201,663.888
686.203,664.426
686.205,664.916
686.209,665.992
686.205,664.900
686.207,665.343
686.193,661.704
686.196,662.448
686.190,661.056
686.196,662.511
686.193,661.736
686.188,660.407
686.191,661.277
686.189,660.629
686.186,660.043
686.182,658.872
686.186,659.885
686.192,661.451
686.197,662.859
686.200,663.492
686.196,662.638
686.193,661.863
686.196,662.590
686.201,663.888
686.198,662.986
686.200,663.619
686.205,664.821
686.209,665.913
686.205,664.821
686.207,665.280
686.203,664.252
686.186,659.932
686.192,661.483
686.195,662.258
686.190,660.882
686.187,660.265
686.185,659.711
686.189,660.644
686.192,661.499
686.189,660.834
686.187,660.233
686.182,659.046
686.186,660.043
686.184,659.505
686.182,659.031
686.186,660.027
686.192,661.578
686.190,660.898
686.187,660.281
686.191,661.166
686.196,662.606
686.193,661.831
686.196,662.575
686.201,663.872
686.198,662.970
686.195,662.163
686.189,660.787
686.195,662.258
686.192,661.515
686.197,662.923
686.192,661.483
686.189,660.818
686.187,660.217
686.182,659.031
686.181,658.588
686.179,658.192
686.186,659.917
686.189,660.834
686.187,660.233
686.193,661.752
686.196,662.495
