# Physical_Baseline=692.33pF, Trigger_Distance=20.0cm, Atten_Ratio=4.00
Raw_Capacitance(pF),Normalized_Capacitance(pF)
692.329,692.328
692.329,692.326
692.336,692.357
692.335,692.352
692.334,692.348
692.341,692.376
692.340,692.370
692.338,692.364
692.337,692.359
692.336,692.354
692.335,692.350
692.334,692.346
692.333,692.343
692.332,692.339
692.331,692.336
692.331,692.334
692.330,692.331
692.329,692.329
692.329,692.327
692.328,692.325
692.328,692.324
692.328,692.323
692.335,692.354
692.334,692.349
692.333,692.345
692.341,692.374
692.339,692.368
692.338,692.363
692.336,692.357
692.335,692.353
692.334,692.349
692.333,692.345
692.328,692.324
692.328,692.322
692.327,692.321
692.327,692.320
692.335,692.351
692.334,692.347
692.333,692.343
692.332,692.340
692.331,692.337
692.331,692.334
692.330,692.332
692.330,692.330
692.329,692.328
692.329,692.326
692.328,692.324
692.328,692.323
692.328,692.322
692.327,692.321
692.327,692.320
692.327,692.319
692.326,692.318
692.326,692.317
692.326,692.316
692.318,692.283
692.318,692.286
692.319,692.288
692.323,692.304
692.323,692.305
692.323,692.305
692.323,692.306
692.324,692.306
692.327,692.321
692.327,692.320
692.327,692.319
692.326,692.318
692.326,692.317
692.326,692.316
692.326,692.315
692.326,692.315
692.326,692.314
692.326,692.314
692.325,692.314
692.325,692.313
692.325,692.313
692.325,692.312
692.325,692.312
692.325,692.312
692.325,692.312
692.325,692.311
692.325,692.311
692.317,692.279
692.314,692.267
692.315,692.271
692.316,692.275
692.317,692.278
692.317,692.281
692.326,692.316
692.326,692.315
692.334,692.347
692.341,692.376
692.347,692.402
692.345,692.393
692.343,692.385
692.341,692.378
692.335,692.353
692.334,692.349
692.333,692.345
692.332,692.342
692.332,692.338
692.331,692.336
692.330,692.333
692.330,692.331
692.329,692.329
692.329,692.327
692.320,692.293
692.321,692.294
692.321,692.296
692.321,692.297
692.322,692.298
692.322,692.299
692.322,692.300
692.322,692.301
692.323,692.302
692.323,692.303
692.323,692.303
692.323,692.304
692.331,692.337
692.339,692.366
692.337,692.361
692.344,692.388
692.342,692.381
692.349,692.406
692.346,692.397
692.344,692.389
692.342,692.381
692.349,692.407
692.346,692.397
692.344,692.389
692.342,692.381
692.341,692.375
692.339,692.368
692.338,692.363
692.336,692.358
692.335,692.353
692.334,692.349
692.333,692.345
692.332,692.342
692.332,692.338
692.331,692.336
692.338,692.366
692.337,692.360
692.336,692.355
692.343,692.383
692.349,692.408
692.355,692.431
692.352,692.420
692.349,692.409
692.347,692.400
692.345,692.391
692.343,692.383
692.341,692.376
692.348,692.402
692.345,692.393
692.343,692.385
692.342,692.378
692.348,692.404
692.346,692.395
692.352,692.419
692.357,692.441
692.354,692.428
692.351,692.417
692.349,692.407
692.346,692.397
692.344,692.389
692.342,692.382
692.341,692.375
692.339,692.368
692.338,692.363
692.336,692.358
692.335,692.353
692.334,692.349
692.333,692.345
692.332,692.342
692.340,692.371
692.338,692.365
692.337,692.360
692.336,692.355
692.335,692.350
692.334,692.346
692.341,692.375
692.339,692.369
692.338,692.363
692.337,692.358
692.335,692.354
692.334,692.349
692.333,692.345
692.333,692.342
692.332,692.339
692.331,692.336
692.330,692.334
692.330,692.331
692.329,692.329
692.329,692.327
692.328,692.325
692.336,692.356
692.335,692.352
692.342,692.380
692.348,692.406
692.354,692.429
692.351,692.417
692.349,692.407
