# Physical_Baseline=686.18pF, Trigger_Distance=100.0cm, Atten_Ratio=100.00
Raw_Capacitance(pF),Normalized_Capacitance(pF)
686.181,686.189
686.179,686.185
686.178,686.182
686.174,686.173
686.171,686.165
686.170,686.163
686.170,686.162
686.167,686.155
686.164,686.148
686.162,686.143
686.162,686.143
686.162,686.144
686.160,686.139
686.161,686.140
686.169,686.160
686.169,686.159
686.174,686.172
686.181,686.189
686.187,686.205
686.183,686.194
686.187,686.203
686.185,686.198
686.183,686.193
686.178,686.183
686.175,686.174
686.182,686.191
686.180,686.187
686.176,686.178
686.181,686.189
686.179,686.185
686.178,686.182
686.185,686.198
686.188,686.207
686.186,686.202
686.184,686.197
686.180,686.186
686.184,686.196
686.190,686.211
686.188,686.206
686.177,686.181
686.174,686.172
686.170,686.164
686.170,686.163
686.169,686.161
686.167,686.154
686.164,686.148
686.172,686.168
686.171,686.166
686.168,686.158
686.165,686.152
686.165,686.151
686.165,686.151
686.163,686.145
686.163,686.146
686.163,686.146
686.163,686.146
686.161,686.141
686.169,686.161
686.161,686.140
686.161,686.141
686.167,686.156
686.172,686.169
686.172,686.167
686.171,686.165
686.176,686.177
686.180,686.188
686.179,686.185
686.178,686.181
686.174,686.172
686.171,686.164
686.178,686.182
686.185,686.199
686.180,686.188
686.176,686.178
686.175,686.176
686.174,686.173
686.179,686.185
686.178,686.181
686.176,686.178
686.175,686.176
686.180,686.187
686.178,686.183
686.177,686.180
686.184,686.197
686.188,686.206
686.185,686.200
686.184,686.196
686.190,686.211
686.185,686.199
686.181,686.188
686.179,686.185
686.178,686.181
686.174,686.173
686.173,686.170
686.172,686.169
686.172,686.167
686.177,686.179
686.181,686.189
686.179,686.186
686.178,686.182
686.174,686.173
686.171,686.165
686.170,686.164
686.170,686.162
686.169,686.161
686.174,686.174
686.174,686.171
686.173,686.169
686.172,686.167
686.169,686.160
686.168,686.159
686.168,686.158
686.165,686.151
686.163,686.145
686.171,686.165
686.170,686.164
686.167,686.156
686.173,686.169
686.172,686.168
686.171,686.166
686.168,686.158
686.173,686.171
686.173,686.169
686.180,686.187
686.184,686.197
686.180,686.186
686.178,686.183
686.177,686.180
686.173,686.171
686.170,686.163
686.170,686.162
686.169,686.161
686.169,686.160
686.174,686.172
686.171,686.164
686.170,686.163
686.169,686.162
686.169,686.161
686.166,686.154
686.166,686.153
686.166,686.153
686.166,686.153
686.163,686.146
686.155,686.127
686.156,686.129
686.165,686.151
686.163,686.145
686.168,686.159
686.160,686.138
686.160,686.139
686.158,686.135
686.157,686.130
686.157,686.132
686.158,686.134
686.159,686.135
686.165,686.150
686.165,686.150
686.165,686.150
686.162,686.144
686.160,686.139
686.169,686.159
686.168,686.158
686.165,686.152
686.163,686.146
686.163,686.146
686.163,686.146
686.169,686.160
686.166,686.153
686.166,686.153
686.166,686.153
686.174,686.172
686.170,686.164
686.170,686.163
686.169,686.161
686.169,686.160
686.166,686.153
686.166,686.153
686.166,686.153
686.166,686.152
686.163,686.146
686.169,686.160
686.177,686.179
686.175,686.176
686.172,686.167
686.169,686.160
686.168,686.159
686.168,686.158
686.173,686.171
686.178,686.182
686.177,686.179
686.184,686.196
686.179,686.186
686.176,686.176
686.174,686.174
686.166,686.152
686.163,686.146
686.169,686.160
686.168,686.159
686.168,686.158
686.165,686.151
686.163,686.145
686.163,686.146
686.163,686.146
686.163,686.146
686.169,686.160
686.169,686.159
686.168,686.158
686.168,686.158
686.165,686.151
686.165,686.151
686.173,686.170
686.172,686.168
686.177,686.180
686.181,686.191
686.180,686.187
686.178,686.183
686.175,686.174
