# Physical_Baseline=688.04pF, Trigger_Distance=40.0cm, Atten_Ratio=16.00
Raw_Capacitance(pF),Normalized_Capacitance(pF)
688.071,688.080
688.074,688.084
688.077,688.088
688.072,688.081
688.067,688.075
688.063,688.069
688.067,688.074
688.070,688.079
688.066,688.073
688.069,688.078
688.073,688.082
688.068,688.076
688.063,688.070
688.059,688.065
688.056,688.060
688.052,688.056
688.049,688.052
688.055,688.059
688.052,688.055
688.057,688.061
688.053,688.057
688.053,688.056
688.061,688.067
688.065,688.072
688.069,688.077
688.072,688.082
688.076,688.086
688.078,688.090
688.073,688.082
688.076,688.086
688.079,688.090
688.073,688.083
688.071,688.080
688.069,688.078
688.065,688.072
688.063,688.070
688.062,688.068
688.061,688.067
688.060,688.065
688.059,688.064
688.058,688.063
688.057,688.062
688.057,688.061
688.056,688.061
688.053,688.056
688.050,688.052
688.047,688.049
688.045,688.045
688.037,688.036
688.038,688.037
688.039,688.039
688.041,688.040
688.033,688.031
688.027,688.023
688.026,688.022
688.026,688.021
688.025,688.021
688.025,688.020
688.025,688.020
688.024,688.019
688.024,688.019
688.024,688.018
688.026,688.022
688.029,688.025
688.028,688.024
688.027,688.023
688.027,688.022
688.026,688.021
688.034,688.031
688.032,688.030
688.026,688.021
688.020,688.014
688.023,688.018
688.023,688.017
688.023,688.017
688.023,688.017
688.022,688.017
688.022,688.017
688.022,688.016
688.022,688.016
688.025,688.020
688.019,688.012
688.019,688.013
688.011,688.002
688.012,688.004
688.013,688.005
688.014,688.006
688.007,687.996
688.003,687.991
688.007,687.997
688.011,688.002
688.012,688.003
688.016,688.008
688.008,687.998
688.010,688.000
688.011,688.001
688.012,688.003
688.013,688.004
688.008,687.998
688.004,687.993
688.000,687.988
688.002,687.991
687.996,687.982
687.998,687.986
688.001,687.988
688.003,687.991
688.004,687.993
688.009,687.999
688.013,688.004
688.008,687.998
688.009,688.000
688.003,687.991
688.004,687.993
688.006,687.995
688.007,687.997
688.003,687.992
688.000,687.987
688.005,687.994
688.009,687.999
688.010,688.001
688.011,688.002
688.012,688.003
688.013,688.004
688.016,688.009
688.020,688.013
688.020,688.014
688.012,688.003
688.008,687.998
688.004,687.992
688.005,687.995
687.999,687.986
688.001,687.989
687.995,687.981
687.992,687.977
687.990,687.974
687.987,687.971
687.985,687.968
687.989,687.973
687.992,687.977
687.995,687.981
687.992,687.977
687.989,687.974
687.987,687.971
687.982,687.964
687.986,687.969
687.989,687.974
687.984,687.967
687.991,687.975
687.996,687.983
687.993,687.979
687.999,687.986
688.001,687.989
688.003,687.991
688.005,687.993
688.006,687.996
688.008,687.997
688.004,687.992
688.000,687.987
688.002,687.990
688.004,687.992
688.005,687.995
687.999,687.986
688.001,687.989
688.006,687.995
688.010,688.001
688.003,687.991
688.005,687.994
688.006,687.996
688.008,687.997
688.009,687.999
688.010,688.001
688.006,687.995
688.002,687.990
688.004,687.993
688.006,687.995
687.978,687.959
687.982,687.965
687.978,687.959
687.982,687.964
687.986,687.969
687.989,687.974
687.995,687.981
688.000,687.988
687.994,687.980
687.997,687.983
687.999,687.986
687.993,687.979
687.996,687.982
687.998,687.985
687.995,687.981
688.000,687.988
688.002,687.991
688.004,687.993
688.006,687.995
687.999,687.986
687.993,687.979
687.996,687.982
688.001,687.989
687.995,687.981
687.997,687.984
688.000,687.987
688.002,687.990
688.003,687.992
688.005,687.994
688.009,688.000
688.010,688.001
688.011,688.002
688.012,688.004
688.013,688.005
688.017,688.009
688.017,688.010
688.012,688.004
688.005,687.994
688.007,687.996
688.000,687.988
688.002,687.990
687.996,687.982
687.993,687.978
687.996,687.982
687.993,687.978
687.995,687.982
687.990,687.974
687.993,687.978
687.995,687.982
687.998,687.985
687.995,687.981
687.992,687.977
687.990,687.974
687.993,687.978
687.987,687.971
687.982,687.965
687.978,687.959
687.982,687.964
687.989,687.973
687.995,687.981
687.997,687.984
687.994,687.980
687.991,687.976
687.994,687.980
687.997,687.983
688.606,688.775
689.365,689.762
689.512,689.953
689.562,690.017
689.565,690.021
689.549,690.000
689.507,689.946
689.464,689.890
689.418,689.831
689.371,689.769
689.318,689.700
689.267,689.634
689.224,689.579
689.179,689.519
689.126,689.452
689.084,689.397
689.039,689.337
688.990,689.274
688.946,689.217
688.907,689.167
688.873,689.122
688.839,689.078
688.800,689.028
688.769,688.986
688.732,688.939
688.688,688.881
688.648,688.830
688.607,688.776
688.562,688.717
688.518,688.661
688.487,688.620
688.474,688.604
688.471,688.600
688.480,688.611
688.511,688.652
688.556,688.710
689.229,689.584
689.274,689.644
689.290,689.664
689.298,689.674
689.338,689.727
689.365,689.762
689.426,689.841
689.485,689.917
690.412,691.122
690.603,691.371
690.714,691.514
691.431,692.447
691.623,692.696
691.688,692.780
692.402,693.709
692.999,694.484
693.214,694.764
693.373,694.971
693.891,695.643
693.979,695.757
694.573,696.529
694.618,696.588
695.552,697.802
695.748,698.057
695.743,698.050
695.817,698.146
696.326,698.808
696.115,698.533
695.482,697.711
695.542,697.789
695.462,697.685
695.454,697.675
695.431,697.645
695.362,697.555
695.325,697.507
695.341,697.528
695.341,697.529
695.342,697.529
695.353,697.543
695.367,697.562
694.840,696.876
694.666,696.651
694.508,696.445
694.416,696.325
693.901,695.657
693.708,695.406
693.541,695.189
693.010,694.499
692.922,694.385
692.835,694.271
