时间戳,气压(MPa),蓄压(ms),雾化(ms),爆破(ms),扫膛(ms),TOF_raw(ms)
2026-06-17 17:24:06,0.100,2800,193,50,50,4921.28
2026-06-17 17:32:33,0.100,2800,193,50,50,40.55
2026-06-17 17:32:55,0.100,2800,193,50,50,42.29
2026-06-17 20:19:04,0.100,2800,193,50,50,38.83
2026-06-17 20:19:09,0.100,2800,193,50,50,51.67
2026-06-17 20:19:17,0.100,2800,193,50,50,17.42
2026-06-17 20:19:28,0.100,2800,193,50,50,26.64
2026-06-17 20:22:28,0.100,2800,193,50,50,8.70
2026-06-17 20:23:24,0.100,2800,193,50,50,12.85
2026-06-17 20:23:43,0.100,2800,193,50,50,25.85
2026-06-17 20:24:11,0.100,2800,193,50,50,46.01
2026-06-17 20:24:24,0.100,2800,193,50,50,33.78
2026-06-17 20:24:59,0.100,2800,193,50,50,58.75
2026-06-17 20:25:12,0.100,2800,193,50,50,67.11
2026-06-17 20:25:31,0.100,2800,193,50,50,2.90
2026-06-17 20:25:45,0.100,2800,193,50,50,31.98
2026-06-17 20:26:04,0.100,2800,193,50,50,21.56
2026-06-17 20:26:16,0.100,2800,193,50,50,23.49
2026-06-17 20:26:36,0.100,2800,193,50,50,45.46
2026-06-17 20:26:54,0.100,2800,193,50,50,57.79
2026-06-17 20:27:20,0.100,2800,193,50,50,36.43
2026-06-17 20:27:31,0.100,2800,193,50,50,6.63
2026-06-17 20:27:46,0.100,2800,193,50,50,27.08
2026-06-17 20:27:57,0.100,2800,193,50,50,29.80
2026-06-17 20:28:14,0.100,2800,193,50,50,35.87
2026-06-17 20:28:26,0.100,2800,193,50,50,59.85
2026-06-17 20:28:41,0.100,2800,193,50,50,56.34
2026-06-17 20:28:51,0.100,2800,193,50,50,61.41
2026-06-17 20:29:00,0.100,2800,193,50,50,18.09
2026-06-17 20:29:06,0.100,2800,193,50,50,58.15
2026-06-17 20:29:15,0.100,2800,193,50,50,11.57
2026-06-17 20:29:20,0.100,2800,193,50,50,48.45
2026-06-17 20:29:26,0.100,2800,193,50,50,48.68
2026-06-17 20:29:40,0.100,2800,193,50,50,51.70
2026-06-17 20:29:47,0.100,2800,193,50,50,23.43
2026-06-17 20:30:08,0.100,2800,193,50,50,58.98
2026-06-17 20:30:17,0.100,2800,193,50,50,44.55
2026-06-17 20:30:23,0.100,2800,193,50,50,20.17
2026-06-17 20:30:29,0.100,2800,193,50,50,36.14
2026-06-17 20:30:36,0.100,2800,193,50,50,45.54
2026-06-17 20:30:43,0.100,2800,193,50,50,42.65
2026-06-17 20:31:24,0.100,2800,193,50,50,27.86
2026-06-17 20:31:32,0.100,2800,193,50,50,18.16
2026-06-17 20:31:39,0.100,2800,193,50,50,14.83
2026-06-17 20:31:47,0.100,2800,193,50,50,31.03
2026-06-17 20:31:53,0.100,2800,193,50,50,43.34
2026-06-17 20:31:59,0.100,2800,193,50,50,43.33
2026-06-17 20:32:06,0.100,2800,193,50,50,10.09
2026-06-17 20:32:12,0.100,2800,193,50,50,51.30
2026-06-18 14:02:30,0.100,2800,193,50,50,8629.97
2026-06-18 14:03:09,0.100,2800,193,50,50,16285.14
2026-06-18 14:03:35,0.100,2800,193,50,50,16312.52
2026-06-18 14:04:41,0.100,2800,193,50,50,16345.08
2026-06-18 14:05:14,0.100,2800,193,50,50,16185.31
2026-06-18 15:42:41,0.100,2800,193,50,50,16487.53
2026-06-18 15:42:41,0.100,2800,193,50,50,16654.53
2026-06-18 15:42:41,0.100,2800,193,50,50,16717.16
2026-06-18 15:42:41,0.100,2800,193,50,50,16793.57
2026-06-18 15:42:42,0.100,2800,193,50,50,16871.26
2026-06-18 15:42:42,0.100,2800,193,50,50,16932.81
2026-06-18 15:42:42,0.100,2800,193,50,50,16983.46
2026-06-18 15:42:42,0.100,2800,193,50,50,17057.55
2026-06-18 15:42:42,0.100,2800,193,50,50,17108.55
2026-06-18 15:42:42,0.100,2800,193,50,50,17181.66
2026-06-18 15:42:42,0.100,2800,193,50,50,17244.38
2026-06-18 15:42:42,0.100,2800,193,50,50,17306.19
2026-06-18 15:42:42,0.100,2800,193,50,50,17368.49
2026-06-18 15:42:42,0.100,2800,193,50,50,17430.81
2026-06-18 15:42:42,0.100,2800,193,50,50,17493.13
2026-06-18 15:42:42,0.100,2800,193,50,50,17555.30
2026-06-18 15:42:42,0.100,2800,193,50,50,17650.83
2026-06-18 15:42:42,0.100,2800,193,50,50,17683.35
2026-06-18 15:42:42,0.100,2800,193,50,50,17741.90
2026-06-18 15:42:42,0.100,2800,193,50,50,17803.74
2026-06-18 15:42:43,0.100,2800,193,50,50,17865.27
2026-06-18 15:42:43,0.100,2800,193,50,50,17929.06
2026-06-18 15:42:43,0.100,2800,193,50,50,17987.97
2026-06-18 15:42:43,0.100,2800,193,50,50,18053.24
2026-06-18 15:42:43,0.100,2800,193,50,50,18115.88
2026-06-18 15:42:43,0.100,2800,193,50,50,18177.76
2026-06-18 15:42:43,0.100,2800,193,50,50,18240.67
2026-06-18 15:42:43,0.100,2800,193,50,50,18303.42
2026-06-18 15:42:43,0.100,2800,193,50,50,18368.80
2026-06-18 15:42:43,0.100,2800,193,50,50,18429.50
2026-06-18 15:42:43,0.100,2800,193,50,50,18492.13
2026-06-18 15:42:43,0.100,2800,193,50,50,18554.45
2026-06-18 15:42:43,0.100,2800,193,50,50,18653.78
2026-06-18 15:42:43,0.100,2800,193,50,50,18677.48
2026-06-18 15:42:43,0.100,2800,193,50,50,18744.42
2026-06-18 15:42:43,0.100,2800,193,50,50,18806.37
2026-06-18 15:42:44,0.100,2800,193,50,50,18868.34
2026-06-18 15:42:44,0.100,2800,193,50,50,18929.25
2026-06-18 15:42:44,0.100,2800,193,50,50,18991.57
2026-06-18 15:42:44,0.100,2800,193,50,50,19055.42
2026-06-18 15:42:44,0.100,2800,193,50,50,19116.84
2026-06-18 15:42:44,0.100,2800,193,50,50,19179.72
2026-06-18 15:42:44,0.100,2800,193,50,50,19241.99
2026-06-18 15:42:44,0.100,2800,193,50,50,19302.98
2026-06-18 15:42:44,0.100,2800,193,50,50,19365.25
2026-06-18 15:42:44,0.100,2800,193,50,50,19428.48
2026-06-18 15:42:44,0.100,2800,193,50,50,19490.60
2026-06-18 15:42:44,0.100,2800,193,50,50,19552.58
2026-06-18 15:42:44,0.100,2800,193,50,50,19615.17
2026-06-18 15:42:44,0.100,2800,193,50,50,19676.47
2026-06-18 15:42:44,0.100,2800,193,50,50,19738.73
2026-06-18 15:42:44,0.100,2800,193,50,50,19801.82
