时间戳,目标气压(MPa),标定距离(cm),绝对飞行时间_TOF(ms),平均喷射流速(m/s),环境温度(°C),AI分级结果
2026-06-17 15:20:07,0.050,172.9,-2999.9,0.00,18.2,等待打分...
2026-06-17 15:22:52,0.050,172.4,-3002.0,0.00,17.4,等待打分...
2026-06-17 15:27:37,0.050,177.4,18.3,96.97,17.7,等待打分...
2026-06-17 15:29:18,0.050,177.3,48.9,36.24,18.1,等待打分...
2026-06-17 15:30:33,0.050,177.8,18.0,98.97,17.8,等待打分...
2026-06-17 15:30:53,0.050,176.2,261.4,6.74,17.4,等待打分...
2026-06-17 15:31:18,0.050,175.3,20.1,87.02,17.5,等待打分...
2026-06-17 15:36:31,0.050,176.3,-7.8,0.00,17.4,等待打分...
2026-06-17 15:41:26,0.050,177.5,-3.2,0.00,17.6,等待打分...
2026-06-17 15:51:35,0.1,40.8,-8.0,0.00,36.2,等待打分...
2026-06-17 15:58:45,0.050,25.6,17.2,14.85,33.8,等待打分...
2026-06-17 16:00:53,0.050,42.0,46.9,8.96,30.1,等待打分...
2026-06-17 16:03:39,0.050,13.8,23343.7,0.00,0.0,0.0
2026-06-17 16:03:47,0.050,13.8,20.0,6.91,29.1,0.0
2026-06-17 16:07:42,0.1,53.4,27.6,19.38,26.4,0.0
2026-06-17 16:26:56,0.1,51.0,58.2,8.76,27.9,等待打分...
2026-06-17 16:27:06,0.1,51.3,734.8,0.70,27.7,0.0
2026-06-17 16:27:15,0.1,50.7,59.7,8.49,27.4,0.0
2026-06-17 16:28:08,0.1,50.2,54.6,9.20,28.0,0.0
2026-06-17 16:31:03,0.1,46.2,65.1,7.10,29.2,等待打分...
2026-06-17 16:31:36,0.1,26.0,55.5,4.68,30.6,0.0
2026-06-17 16:31:46,0.1,52.9,6.4,82.97,27.9,0.0
2026-06-17 16:31:56,0.1,0.0,18.6,0.00,33.8,0.0
2026-06-17 16:32:24,0.1,10.7,21.9,4.89,34.3,0.0
2026-06-17 16:32:40,0.1,45.5,50.5,9.00,35.7,0.0
2026-06-17 16:33:14,0.1,2.9,44.5,0.65,30.1,0.0
2026-06-17 16:33:42,0.1,66.0,55.6,11.86,25.1,0.0
2026-06-17 16:35:37,0.1,51.0,56.6,9.01,27.1,0.0
2026-06-17 16:37:46,0.050,51.0,35.8,14.25,27.8,等待打分...
2026-06-17 16:38:42,0.050,0.8,5.7,1.41,34.9,0.0
2026-06-17 16:40:44,0.050,53.1,27.2,19.50,35.7,0.0
2026-06-17 16:41:20,0.050,47.3,12.8,36.90,27.1,0.0
2026-06-17 16:41:33,0.050,52.4,48.4,10.82,34.2,0.0
2026-06-17 16:42:05,0.050,51.6,1358.3,0.38,29.9,0.0
2026-06-17 16:42:39,0.1,57.5,17.2,33.50,29.6,0.0
2026-06-17 16:42:54,0.1,6.3,16.0,3.93,30.1,0.0
2026-06-17 16:45:54,0.1,56.1,28.6,19.64,32.0,0.0
2026-06-17 16:51:13,0.100,44.5,25.8,17.23,28.5,等待打分...
2026-06-17 16:51:48,0.100,27.7,81.2,3.41,35.9,0.0
2026-06-17 16:52:57,0.100,47.0,18.7,25.19,28.9,0.0
2026-06-17 16:53:17,0.100,5.0,27.9,1.79,30.3,0.0
2026-06-17 16:56:40,0.100,47.4,9.4,50.30,27.7,等待打分...
2026-06-17 16:56:58,0.100,51.2,16.8,30.52,26.9,0.0
2026-06-17 16:57:16,0.100,49.1,98.5,4.98,25.8,0.0
2026-06-17 17:03:06,0.100,52.0,38.8,13.39,28.6,0.0
2026-06-17 17:03:20,0.100,57.3,48.4,11.83,29.7,0.0
2026-06-17 17:03:32,0.100,56.9,56.0,10.17,29.6,0.0
2026-06-17 17:04:40,0.100,42.1,53.7,7.84,34.6,等待打分...
2026-06-17 17:05:19,0.100,0.0,33.8,0.00,28.8,0.0
2026-06-17 17:08:00,0.100,44.2,10.2,43.18,30.0,0.0
2026-06-17 17:10:54,0.100,52.3,9.8,53.50,29.1,0.0
2026-06-17 17:11:30,0.100,27.5,10.8,25.44,27.3,0.0
2026-06-17 17:16:18,0.100,0.0,47.6,0.00,36.0,等待打分...
2026-06-17 17:24:06,0.100,0.0,4921.3,0.00,17.9,等待打分...
2026-06-17 17:32:33,0.100,2.3,40.6,0.57,18.8,等待打分...
2026-06-17 17:32:55,0.100,1.5,42.3,0.35,19.4,0.0
2026-06-17 20:19:04,0.100,5.7,38.8,1.47,19.9,等待打分...
2026-06-17 20:19:09,0.100,13.5,51.7,2.61,19.8,0.0
2026-06-17 20:19:17,0.100,5.1,17.4,2.93,19.7,0.0
2026-06-17 20:19:28,0.100,0.0,26.6,0.00,19.3,0.0
2026-06-17 20:22:28,0.100,13.5,8.7,15.52,18.2,0.0
2026-06-17 20:23:24,0.100,0.8,12.9,0.62,18.9,0.0
2026-06-17 20:23:43,0.100,5.0,25.8,1.93,18.7,0.0
2026-06-17 20:24:11,0.100,4.3,46.0,0.93,18.8,0.0
2026-06-17 20:24:24,0.100,5.3,33.8,1.57,19.0,0.0
2026-06-17 20:24:59,0.100,4.5,58.7,0.77,19.1,0.0
2026-06-17 20:25:12,0.100,5.5,67.1,0.82,19.3,0.0
2026-06-17 20:25:31,0.100,4.4,2.9,15.16,19.2,0.0
2026-06-17 20:25:45,0.100,4.6,32.0,1.44,19.5,0.0
2026-06-17 20:26:04,0.100,4.2,21.6,1.95,19.5,0.0
2026-06-17 20:26:16,0.100,4.7,23.5,2.00,19.4,0.0
2026-06-17 20:26:36,0.100,5.6,45.5,1.23,19.5,0.0
2026-06-17 20:26:54,0.100,4.9,57.8,0.85,19.6,0.0
2026-06-17 20:27:20,0.100,4.5,36.4,1.24,19.5,0.0
2026-06-17 20:27:31,0.100,2.7,6.6,4.07,19.6,0.0
2026-06-17 20:27:46,0.100,4.7,27.1,1.74,19.7,0.0
2026-06-17 20:27:57,0.100,4.2,29.8,1.41,19.7,0.0
2026-06-17 20:28:14,0.100,4.3,35.9,1.20,19.8,0.0
2026-06-17 20:28:26,0.100,6.9,59.9,1.15,19.7,0.0
2026-06-17 20:28:41,0.100,6.5,56.3,1.15,19.7,0.0
2026-06-17 20:28:51,0.100,6.9,61.4,1.12,19.7,0.0
2026-06-17 20:29:00,0.100,7.2,18.1,3.98,19.6,0.0
2026-06-17 20:29:06,0.100,7.1,58.2,1.22,19.7,0.0
2026-06-17 20:29:15,0.100,6.7,11.6,5.79,19.9,0.0
2026-06-17 20:29:20,0.100,7.3,48.5,1.51,19.8,0.0
2026-06-17 20:29:26,0.100,5.9,48.7,1.21,19.6,0.0
2026-06-17 20:29:40,0.100,6.3,51.7,1.22,19.8,0.0
2026-06-17 20:29:47,0.100,6.6,23.4,2.82,19.9,0.0
2026-06-17 20:30:08,0.100,8.3,59.0,1.41,19.7,0.0
2026-06-17 20:30:17,0.100,21.2,44.5,4.76,23.9,0.0
2026-06-17 20:30:23,0.100,6.9,20.2,3.42,24.0,0.0
2026-06-17 20:30:29,0.100,6.2,36.1,1.72,24.0,0.0
2026-06-17 20:30:36,0.100,7.2,45.5,1.58,23.9,0.0
2026-06-17 20:30:43,0.100,7.4,42.7,1.71,24.1,0.0
2026-06-17 20:31:24,0.100,4.1,27.9,1.47,24.3,0.0
2026-06-17 20:31:32,0.100,9.3,18.2,5.12,24.2,0.0
2026-06-17 20:31:39,0.100,6.7,14.8,4.52,24.3,0.0
2026-06-17 20:31:47,0.100,7.3,31.0,2.35,24.2,0.0
2026-06-17 20:31:53,0.100,7.8,43.3,1.80,24.1,0.0
2026-06-17 20:31:59,0.100,7.2,43.3,1.66,24.0,0.0
2026-06-17 20:32:06,0.100,7.4,10.1,7.33,19.9,0.0
2026-06-17 20:32:12,0.100,7.4,51.3,1.44,19.8,0.0
2026-06-17 23:14:35,0.100,8.3,-5.1,0.00,25.9,等待打分...
2026-06-17 23:14:55,0.100,7.8,-1.5,0.00,25.5,0.0
2026-06-17 23:15:46,0.100,8.2,-28.5,0.00,19.9,0.0
2026-06-17 23:20:10,0.100,7.2,-33.3,0.00,18.3,0.0
2026-06-17 23:20:33,0.100,10.2,-12.6,0.00,17.9,0.0
2026-06-17 23:23:46,0.100,8.6,-12.3,0.00,16.6,0.0
2026-06-17 23:24:02,0.100,9.2,-5.0,0.00,16.5,0.0
2026-06-17 23:25:32,0.100,6.6,-22.1,0.00,16.4,0.0
2026-06-17 23:26:55,0.100,9.4,1.3,74.24,16.9,0.0
2026-06-17 23:29:19,0.100,9.0,21.0,4.29,18.7,0.0
2026-06-17 23:33:14,0.100,15.9,2.6,60.68,16.7,0.0
2026-06-17 23:47:30,0.100,12.0,15089.6,0.01,15.1,等待打分...
