x0000,y0000
0.,475.1799
1.,475.1899
2.,475.1995
3.,475.2042
4.,475.2138
5.,475.219
6.,475.2209
7.,475.2233
8.,475.2238
9.,475.2233
10.,475.2185
11.,475.2166
12.,475.2138
13.,475.2066
14.,475.2019
15.,475.1947
16.,475.1847
17.,475.1728
18.,475.1638
19.,475.1513
20.,475.1393
21.,475.1275
22.,475.1204
23.,475.1108
24.,475.0961
25.,475.0841
26.,475.077
27.,475.0675
28.,475.0604
29.,475.058
30.,475.0555
31.,475.0532
32.,475.0509
33.,475.0527
34.,475.0527
35.,475.0598
36.,475.0646
37.,475.077
38.,475.0865
39.,475.0965
40.,475.1056
41.,475.1175
42.,475.1251
43.,475.1275
44.,475.1371
45.,475.1465
46.,475.1537
47.,475.1585
48.,475.1703
49.,475.1775
50.,475.1799
51.,475.1894
52.,475.1971
53.,475.209
54.,475.2166
55.,475.2286
56.,475.2375
57.,475.24
58.,475.2476
59.,475.2548
60.,475.2572
61.,475.2595
62.,475.2619
63.,475.2643
64.,475.2648
65.,475.2667
66.,475.2691
67.,475.2738
68.,475.2791
69.,475.2809
70.,475.2833
71.,475.2863
72.,475.2863
73.,475.288
74.,475.2833
75.,475.2815
76.,475.2786
77.,475.2738
78.,475.2691
79.,475.2595
80.,475.2523
81.,475.2405
82.,475.2286
83.,475.2162
84.,475.1995
85.,475.1876
86.,475.1679
87.,475.1442
88.,475.1275
89.,475.1061
90.,475.0818
91.,475.058
92.,475.0312
93.,475.0051
94.,474.976
95.,474.9475
96.,474.916
97.,474.885
98.,474.8489
99.,474.8151
100.,474.7794
101.,474.7433
102.,474.7071
103.,474.6714
104.,474.6357
105.,474.5973
106.,474.5615
107.,474.523
108.,474.4868
109.,474.4508
110.,474.4488
111.,474.4294
112.,474.3932
113.,474.3647
114.,474.3409
115.,474.319
116.,474.3
117.,474.2834
118.,474.2691
119.,474.2616
120.,474.2497
121.,474.2354
122.,474.2283
123.,474.2236
124.,474.2236
125.,474.2236
126.,474.2307
127.,474.2374
128.,474.2473
129.,474.2573
130.,474.2711
131.,474.2805
132.,474.2929
133.,474.3025
134.,474.3072
135.,474.3072
136.,474.3072
137.,474.2976
138.,474.2906
139.,474.2787
140.,474.2592
141.,474.2426
142.,474.2183
143.,474.1875
144.,474.159
145.,474.1253
146.,474.0868
147.,474.0488
148.,474.0107
149.,473.9695
150.,473.9264
151.,473.9121
152.,473.8979
153.,473.8551
154.,473.8262
155.,473.8
156.,473.7763
157.,473.7521
158.,473.7355
159.,473.7161
160.,473.6991
161.,473.6825
162.,473.6706
163.,473.6563
164.,473.6469
165.,473.635
166.,473.6251
167.,473.6156
168.,473.6038
169.,473.5947
170.,473.58
171.,473.5728
172.,473.5634
173.,473.5539
174.,473.5468
175.,473.5417
176.,473.5369
177.,473.5345
178.,473.5369
179.,473.5417
180.,473.5487
181.,473.5582
182.,473.5658
183.,473.5796
184.,473.5894
185.,473.6014
186.,473.6156
187.,473.6274
188.,473.6397
189.,473.6517
190.,473.6615
191.,473.671
192.,473.6829
193.,473.6924
194.,473.7018
195.,473.709
196.,473.7209
197.,473.7284
198.,473.7403
199.,473.7521
200.,473.764
201.,473.7735
202.,473.7834
203.,473.8
204.,473.8142
205.,473.8285
206.,473.8476
207.,473.8693
208.,473.8911
209.,473.9121
210.,473.9121
211.,473.9121
212.,473.9339
213.,473.9577
214.,473.9771
215.,473.9984
216.,474.0156
217.,474.0317
218.,474.0488
219.,474.0678
220.,474.0824
221.,474.0991
222.,474.1157
223.,474.1277
224.,474.1395
225.,474.1494
226.,474.1613
227.,474.1708
228.,474.1804
229.,474.1927
230.,474.1993
231.,474.2065
232.,474.2164
233.,474.2236
234.,474.2307
235.,474.2378
236.,474.2473
237.,474.2497
238.,474.2592
239.,474.2645
240.,474.2711
241.,474.2759
242.,474.2805
243.,474.2853
244.,474.2882
245.,474.2906
246.,474.2906
247.,474.2906
248.,474.2859
249.,474.2859
250.,474.2834
251.,474.281
252.,474.2787
253.,474.2763
254.,474.2715
255.,474.2668
256.,474.2663
257.,474.2616
258.,474.2592
259.,474.2545
260.,474.2521
261.,474.2497
262.,474.2497
263.,474.245
264.,474.2426
265.,474.245
266.,474.245
267.,474.245
268.,474.2497
269.,474.2521
270.,474.2545
271.,474.2592
272.,474.2645
273.,474.2715
274.,474.281
275.,474.2952
276.,474.3072
277.,474.3167
278.,474.3314
279.,474.3385
280.,474.3505
281.,474.3576
282.,474.3647
283.,474.367
284.,474.3718
285.,474.3718
286.,474.3694
287.,474.367
288.,474.3623
289.,474.3599
290.,474.3576
291.,474.3528
292.,474.3481
293.,474.3457
294.,474.3361
295.,474.3314
296.,474.3243
297.,474.3143
298.,474.3048
299.,474.2976
300.,474.2859
301.,474.2739
302.,474.2568
303.,474.2426
304.,474.2236
305.,474.2017
306.,474.1804
307.,474.1299
308.,474.1062
309.,474.0802
310.,474.0511
311.,474.0227
312.,473.996
313.,473.9723
314.,473.9481
315.,473.922
316.,473.9126
317.,473.9126
318.,473.9097
319.,473.8836
320.,473.8647
321.,473.8503
322.,473.8404
323.,473.8309
324.,473.8262
325.,473.819
326.,473.8119
327.,473.8048
328.,473.8025
329.,473.7976
330.,473.7976
331.,473.8
332.,473.7997
333.,473.8021
334.,473.8072
335.,473.8119
336.,473.8214
337.,473.8285
338.,473.8427
339.,473.8551
340.,473.8693
341.,473.8859
342.,473.9121
343.,473.9144
344.,473.9126
345.,473.9126
346.,473.8931
347.,473.8091
348.,474.6305
349.,476.1646
350.,477.2015
351.,478.1657
352.,478.6766
353.,479.0194
354.,479.6646
355.,480.9137
356.,482.0758
357.,482.4214
358.,482.1952
359.,482.1362
360.,481.6982
361.,480.6548
362.,481.6877
363.,484.066
364.,485.3029
365.,485.5461
366.,485.6385
367.,485.2568
368.,484.0598
369.,483.4129
370.,483.1666
371.,483.3562
372.,483.5809
373.,483.7852
374.,483.813
375.,483.7635
376.,483.7478
377.,483.6172
378.,483.4309
379.,483.2451
380.,483.0798
381.,482.8661
382.,482.5912
383.,482.3407
384.,482.1758
385.,482.1168
386.,482.1855
387.,482.3083
388.,482.4035
389.,482.4698
390.,482.5419
391.,482.5806
392.,482.5491
393.,482.4431
394.,482.3373
395.,482.2735
396.,482.1855
397.,482.0305
398.,481.8416
399.,481.6361
400.,481.421
401.,481.1761
402.,480.9845
403.,480.8502
404.,480.7697
405.,480.7544
406.,480.7722
407.,480.8044
408.,480.8429
409.,480.7505
410.,480.4821
411.,480.2059
412.,479.9764
413.,479.7816
414.,479.6013
415.,479.4995
416.,479.4379
417.,479.3754
418.,479.3235
419.,479.2914
420.,479.2746
421.,479.1266
422.,478.8203
423.,478.5216
424.,478.3277
425.,478.2088
426.,478.1163
427.,478.0246
428.,477.949
429.,477.8867
430.,477.8477
431.,477.8351
432.,477.8351
433.,477.8477
434.,477.8621
435.,477.8795
436.,477.8939
437.,477.9131
438.,477.9258
439.,477.9449
440.,477.9593
441.,477.9689
442.,477.976
443.,477.9713
444.,477.9666
445.,477.9545
446.,477.9497
447.,477.9419
448.,477.9346
449.,477.9298
450.,477.9251
451.,477.9178
452.,477.9178
453.,477.9186
454.,477.9227
455.,477.9233
456.,477.9251
457.,477.9233
458.,477.9178
459.,477.9083
460.,477.8812
461.,477.8382
462.,477.777
463.,477.7069
464.,477.6415
465.,477.565
466.,477.487
467.,477.4026
468.,477.3128
469.,477.2159
470.,477.1148
471.,477.0209
472.,476.9336
473.,476.8589
474.,476.7986
475.,476.743
476.,476.7041
477.,476.6779
478.,476.6582
479.,476.651
480.,476.6462
481.,476.6469
482.,476.651
483.,476.6486
484.,476.651
485.,476.6414
486.,476.6319
487.,476.6146
488.,476.6009
489.,476.574
490.,476.5501
491.,476.5208
492.,476.4874
493.,476.451
494.,476.4146
495.,476.3615
496.,476.3328
497.,476.3328
498.,476.306
499.,476.275
500.,476.2457
501.,476.2195
502.,476.1998
503.,476.1784
504.,476.1616
505.,476.1449
506.,476.1349
507.,476.133
508.,476.1306
509.,476.133
510.,476.1402
511.,476.1544
512.,476.1665
513.,476.1766
514.,476.1885
515.,476.1903
516.,476.1831
517.,476.1694
518.,476.1473
519.,476.1205
520.,476.0913
521.,476.0555
522.,476.0173
523.,475.981
524.,475.9279
525.,475.9066
526.,475.9041
527.,475.8749
528.,475.8315
529.,475.7951
530.,475.7642
531.,475.7332
532.,475.704
533.,475.6802
534.,475.6605
535.,475.644
536.,475.6302
537.,475.6225
538.,475.6129
539.,475.6058
540.,475.5939
541.,475.5843
542.,475.5718
543.,475.5575
544.,475.538
545.,475.5165
546.,475.4879
547.,475.4635
548.,475.4302
549.,475.3993
550.,475.3653
551.,475.3267
552.,475.2904
553.,475.25
554.,475.209
555.,475.1679
556.,475.1275
557.,475.0818
558.,475.039
559.,474.9927
560.,474.9475
561.,474.9041
562.,474.8589
563.,474.8156
564.,474.7746
565.,474.7314
566.,474.6903
567.,474.6524
568.,474.6138
569.,474.5829
570.,474.5516
571.,474.5201
572.,474.4892
573.,474.4559
574.,474.4488
575.,474.4436
576.,474.4122
577.,474.3885
578.,474.3694
579.,474.3528
580.,474.3361
581.,474.319
582.,474.3048
583.,474.2882
584.,474.2739
585.,474.2592
586.,474.2473
587.,474.2354
588.,474.2188
589.,474.2093
590.,474.1993
591.,474.1921
592.,474.1899
593.,474.1875
594.,474.1899
595.,474.1921
596.,474.1945
597.,474.1993
598.,474.2045
599.,474.2017
600.,474.2017
601.,474.197
602.,474.1921
603.,474.1851
604.,474.1779
605.,474.1637
606.,474.1519
607.,474.1347
608.,474.1205
609.,474.101
610.,474.082
611.,474.063
612.,474.0411
613.,474.0151
614.,473.996
615.,473.9699
616.,473.9434
617.,473.9144
618.,473.9121
619.,473.9102
620.,473.8955
621.,473.8665
622.,473.8452
623.,473.8285
624.,473.8119
625.,473.8
626.,473.7877
627.,473.7783
628.,473.7664
629.,473.7569
630.,473.7497
631.,473.7403
632.,473.7355
633.,473.7308
634.,473.728
635.,473.7233
636.,473.7161
637.,473.7114
638.,473.7066
639.,473.7018
640.,473.6995
641.,473.6948
642.,473.6948
643.,473.692
644.,473.69
645.,473.6924
646.,473.6948
647.,473.6924
648.,473.6948
649.,473.6972
650.,473.6972
651.,473.6995
652.,473.7018
653.,473.7018
654.,473.6995
655.,473.6995
656.,473.6995
657.,473.6972
658.,473.6924
659.,473.6948
660.,473.6924
661.,473.6872
662.,473.6848
663.,473.6801
664.,473.6754
665.,473.6734
666.,473.671
667.,473.6683
668.,473.6659
669.,473.6615
670.,473.6563
671.,473.6517
672.,473.6493
673.,473.6445
674.,473.6397
675.,473.6373
676.,473.635
677.,473.6298
678.,473.6274
679.,473.6227
680.,473.6227
681.,473.6204
682.,473.618
683.,473.616
684.,473.616
685.,473.6136
686.,473.6136
687.,473.6156
688.,473.6133
689.,473.6133
690.,473.6136
691.,473.616
692.,473.616
693.,473.6204
694.,473.618
695.,473.618
696.,473.6204
697.,473.6251
698.,473.6251
699.,473.6274
700.,473.6322
701.,473.635
702.,473.6373
703.,473.6397
704.,473.6422
705.,473.6469
706.,473.6469
707.,473.6517
708.,473.6539
709.,473.6544
710.,473.6563
711.,473.6544
712.,473.6588
713.,473.6588
714.,473.6588
715.,473.6588
716.,473.6615
717.,473.6611
718.,473.6588
719.,473.6591
720.,473.6588
721.,473.6568
722.,473.6539
723.,473.6563
724.,473.6539
725.,473.6493
726.,473.6445
727.,473.6397
728.,473.637
729.,473.635
730.,473.6327
731.,473.6327
732.,473.6303
733.,473.6279
734.,473.6274
735.,473.6251
736.,473.6274
737.,473.6274
738.,473.6279
739.,473.6303
740.,473.6327
741.,473.6373
742.,473.6422
743.,473.6445
744.,473.6469
745.,473.6544
746.,473.6588
747.,473.6639
748.,473.6734
749.,473.6805
750.,473.6852
751.,473.69
752.,473.6995
753.,473.7043
754.,473.7114
755.,473.7184
756.,473.7233
757.,473.7304
758.,473.7331
759.,473.7403
760.,473.7473
761.,473.7521
762.,473.7593
763.,473.7687
764.,473.7783
765.,473.783
766.,473.7882
767.,473.7906
768.,473.8
769.,473.8048
770.,473.8096
771.,473.8167
772.,473.819
773.,473.8238
774.,473.8262
775.,473.8333
776.,473.838
777.,473.8409
778.,473.8476
779.,473.857
780.,473.8642
781.,473.8737
782.,473.8813
783.,473.9002
784.,473.9121
785.,473.9126
786.,473.9126
787.,473.9126
788.,473.9196
789.,473.9363
790.,473.9529
791.,473.9647
792.,473.9794
793.,473.989
794.,474.0032
795.,474.0103
796.,474.0179
797.,474.0269
798.,474.0317
799.,474.0365
800.,474.0393
801.,474.0488
802.,474.0535
803.,474.0606
804.,474.0678
805.,474.0753
806.,474.082
807.,474.0916
808.,474.1015
809.,474.1133
810.,474.1253
811.,474.1371
812.,474.1494
813.,474.159
814.,474.1708
815.,474.1828
816.,474.1993
817.,474.2117
818.,474.2259
819.,474.2378
820.,474.2497
821.,474.2639
822.,474.2759
823.,474.2901
824.,474.3048
825.,474.3172
826.,474.331
827.,474.3405
828.,474.3523
829.,474.3647
830.,474.3766
831.,474.3861
832.,474.3979
833.,474.4122
834.,474.4246
835.,474.4341
836.,474.446
837.,474.4488
838.,474.4488
839.,474.4488
840.,474.4508
841.,474.4508
842.,474.4488
843.,474.4488
844.,474.4559
845.,474.4703
846.,474.4821
847.,474.4945
848.,474.5035
849.,474.5106
850.,474.5254
851.,474.532
852.,474.5397
853.,474.5468
854.,474.5521
855.,474.5586
856.,474.5634
857.,474.571
858.,474.5782
859.,474.5829
860.,474.5877
861.,474.5948
862.,474.6019
863.,474.6043
864.,474.6138
865.,474.6186
866.,474.6262
867.,474.6286
868.,474.6329
869.,474.64
870.,474.6447
871.,474.6501
872.,474.6547
873.,474.6571
874.,474.6618
875.,474.6618
876.,474.6642
877.,474.6667
878.,474.669
879.,474.6671
880.,474.6667
881.,474.6642
882.,474.6618
883.,474.6547
884.,474.6524
885.,474.6501
886.,474.6447
887.,474.6447
888.,474.64
889.,474.6352
890.,474.6305
891.,474.6286
892.,474.6215
893.,474.6186
894.,474.6162
895.,474.6115
896.,474.6067
897.,474.5996
898.,474.5948
899.,474.5877
900.,474.5853
901.,474.5782
902.,474.5729
903.,474.5682
904.,474.5592
905.,474.5563
906.,474.5492
907.,474.5397
908.,474.5301
909.,474.5201
910.,474.513
911.,474.5016
912.,474.494
913.,474.4845
914.,474.4679
915.,474.4512
916.,474.4488
917.,474.4508
918.,474.4484
919.,474.4488
920.,474.4488
921.,474.4484
922.,474.4388
923.,474.4274
924.,474.4174
925.,474.4079
926.,474.4056
927.,474.4032
928.,474.4008
929.,474.3985
930.,474.3961
931.,474.3961
932.,474.3985
933.,474.4008
934.,474.4056
935.,474.4127
936.,474.4199
937.,474.4246
938.,474.4246
939.,474.4274
940.,474.427
941.,474.427
942.,474.427
943.,474.4246
944.,474.4199
945.,474.4127
946.,474.4103
947.,474.4056
948.,474.4008
949.,474.3937
950.,474.3914
951.,474.3861
952.,474.3814
953.,474.3794
954.,474.3742
955.,474.3718
956.,474.367
957.,474.3676
958.,474.3647
959.,474.3623
960.,474.3599
961.,474.3599
962.,474.3599
963.,474.3595
964.,474.3599
965.,474.3623
966.,474.3647
967.,474.3694
968.,474.377
969.,474.3837
970.,474.3932
971.,474.4051
972.,474.4199
973.,474.4412
974.,474.4484
975.,474.4488
976.,474.4488
977.,474.4608
978.,474.4845
979.,474.4945
980.,474.5082
981.,474.5106
982.,474.513
983.,474.5159
984.,474.5183
985.,474.5159
986.,474.5135
987.,474.5135
988.,474.5082
989.,474.5011
990.,474.4992
991.,474.4964
992.,474.4916
993.,474.4868
994.,474.4845
995.,474.4821
996.,474.4797
997.,474.4845
998.,474.4845
999.,474.485
1000.,474.4892
1001.,474.4968
1002.,474.5035
1003.,474.5106
1004.,474.5135
1005.,474.5183
1006.,474.5277
1007.,474.5373
1008.,474.5468
1009.,474.5563
1010.,474.5682
1011.,474.5782
1012.,474.5877
1013.,474.5996
1014.,474.6138
1015.,474.6262
1016.,474.6405
1017.,474.6501
1018.,474.6618
1019.,474.6714
1020.,474.679
1021.,474.6881
1022.,474.6976
1023.,474.6999
1024.,474.7047
1025.,474.7071
1026.,474.7023
1027.,474.6927
1028.,474.6786
1029.,474.6761
1030.,474.916
1031.,477.2866
1032.,482.3286
1033.,483.6232
1034.,483.7998
1035.,483.4154
1036.,482.8938
1037.,482.3383
1038.,482.028
1039.,481.9764
1040.,481.8102
1041.,481.6071
1042.,481.528
1043.,481.2783
1044.,480.814
1045.,480.2716
1046.,479.6797
1047.,479.1314
1048.,478.5656
1049.,478.102
1050.,478.039
1051.,478.09
1052.,478.6382
1053.,479.4259
1054.,479.9226
1055.,480.3158
1056.,481.1148
1057.,481.2324
1058.,481.0923
1059.,481.1213
1060.,481.1318
1061.,481.1068
1062.,481.0215
1063.,480.8068
1064.,480.7385
1065.,480.9137
1066.,480.9089
1067.,480.8309
1068.,480.4773
1069.,480.1425
1070.,480.0301
1071.,479.9668
1072.,479.8521
1073.,479.6814
1074.,479.5692
1075.,479.4964
1076.,479.3626
1077.,479.1465
1078.,479.0243
1079.,479.0898
1080.,479.1945
1081.,479.3235
1082.,479.421
1083.,479.4651
1084.,479.4964
1085.,479.506
1086.,479.5043
1087.,479.4843
1088.,479.4114
