x0000,y0000
0.,469.0887
1.,469.0864
2.,469.0818
3.,469.0793
4.,469.0746
5.,469.0722
6.,469.0699
7.,469.0699
8.,469.0653
9.,469.0653
10.,469.0653
11.,469.0581
12.,469.0581
13.,469.0581
14.,469.0581
15.,469.0581
16.,469.0534
17.,469.0535
18.,469.0558
19.,469.0558
20.,469.0535
21.,469.0535
22.,469.0511
23.,469.0535
24.,469.0511
25.,469.051
26.,469.051
27.,469.0441
28.,469.044
29.,469.044
30.,469.044
31.,469.0417
32.,469.0393
33.,469.0393
34.,469.037
35.,469.0369
36.,469.0369
37.,469.037
38.,469.0345
39.,469.0347
40.,469.0322
41.,469.0298
42.,469.0298
43.,469.0275
44.,469.0322
45.,469.0298
46.,469.0323
47.,469.0275
48.,469.0275
49.,469.0298
50.,469.0252
51.,469.0276
52.,469.0275
53.,469.0276
54.,469.0275
55.,469.0276
56.,469.0275
57.,469.0251
58.,469.0251
59.,469.0251
60.,469.0251
61.,469.0228
62.,469.0251
63.,469.0251
64.,469.0229
65.,469.0204
66.,469.0181
67.,469.0181
68.,469.0181
69.,469.0204
70.,469.0181
71.,469.0134
72.,469.0132
73.,469.0134
74.,469.0134
75.,469.0087
76.,469.0085
77.,469.0064
78.,469.0064
79.,469.004
80.,469.0064
81.,469.0016
82.,469.0016
83.,468.9992
84.,468.9992
85.,468.9968
86.,468.9992
87.,468.9994
88.,469.0016
89.,469.0016
90.,469.0062
91.,469.0087
92.,469.0087
93.,469.0111
94.,469.0181
95.,469.0181
96.,469.0181
97.,469.0204
98.,469.0229
99.,469.0275
100.,469.0369
101.,469.0486
102.,469.0629
103.,469.0746
104.,469.15
105.,469.1736
106.,469.1949
107.,469.2183
108.,469.2961
109.,469.322
110.,469.3739
111.,469.3974
112.,469.4234
113.,469.4541
114.,469.4847
115.,469.5224
116.,469.6876
117.,469.7584
118.,470.023
119.,470.0585
120.,470.0797
121.,470.0797
122.,470.0182
123.,469.9544
124.,469.749
125.,469.7231
126.,469.6782
127.,469.6216
128.,469.5768
129.,469.5579
130.,469.5602
131.,469.5696
132.,469.5508
133.,469.5438
134.,469.5414
135.,469.5484
136.,469.5555
137.,469.5722
138.,469.5531
139.,469.4801
140.,469.4401
141.,469.3481
142.,469.1783
143.,469.1454
144.,468.9852
145.,468.9405
146.,468.8697
147.,468.8581
148.,468.8485
149.,468.8415
150.,468.8133
151.,468.8085
152.,468.9216
153.,468.931
154.,468.9922
155.,469.0039
156.,469.1829
157.,469.1076
158.,469.3857
159.,469.4376
160.,469.4541
161.,469.4658
162.,469.8011
163.,469.8033
164.,469.8058
165.,469.9215
166.,470.0656
167.,470.2334
168.,470.5623
169.,470.6733
170.,470.8415
171.,471.0621
172.,471.1734
173.,471.3087
174.,471.4771
175.,471.4842
176.,471.2706
