x0000,y0000
0.,471.7716
1.,471.7713
2.,471.769
3.,471.769
4.,471.7693
5.,471.7693
6.,471.7716
7.,471.7716
8.,471.769
9.,471.7693
10.,471.7693
11.,471.7693
12.,471.7713
13.,471.769
14.,471.6977
15.,471.6812
16.,471.6718
17.,471.6575
18.,471.6408
19.,471.6313
20.,471.5837
21.,471.5695
22.,471.5365
23.,471.5247
24.,471.5103
25.,471.496
26.,471.4488
27.,471.4414
28.,471.432
29.,471.432
30.,471.4485
31.,471.4535
32.,471.458
33.,471.4674
34.,471.4701
35.,471.4795
36.,471.4866
37.,471.4936
38.,471.5032
39.,471.5127
40.,471.5175
41.,471.5223
42.,471.541
43.,471.5483
44.,471.5531
45.,471.5625
46.,471.5699
47.,471.572
48.,471.6053
49.,471.6454
50.,471.6553
51.,471.7335
52.,471.7572
53.,471.7667
54.,471.769
55.,471.7693
56.,471.7716
57.,471.8571
58.,471.8712
59.,471.8807
60.,471.8881
61.,471.8999
62.,471.907
63.,471.907
64.,471.9117
65.,471.9117
66.,471.9046
67.,471.8976
68.,471.8928
69.,471.8831
70.,471.8807
71.,471.881
72.,471.8831
73.,471.8925
74.,471.8996
75.,471.907
76.,471.9165
77.,471.9235
78.,471.9307
79.,471.9424
80.,471.9448
81.,471.9591
82.,471.9664
83.,471.9736
84.,471.9759
85.,471.9995
86.,472.0019
87.,472.007
88.,472.0094
89.,472.0164
90.,472.0188
91.,472.0188
92.,472.0188
93.,472.0208
94.,472.0188
95.,472.0211
96.,472.0188
97.,472.0188
98.,472.0208
99.,472.0259
100.,472.0283
101.,472.0495
102.,472.0546
103.,472.0589
104.,472.0661
105.,472.0708
106.,472.0778
107.,472.183
108.,472.1948
109.,472.2495
110.,472.2827
111.,472.2922
112.,472.3087
113.,472.3232
114.,472.3445
115.,472.3662
116.,472.4112
117.,472.4351
118.,472.4568
119.,472.4802
120.,472.542
121.,472.5491
122.,472.5468
123.,472.5447
124.,472.5113
125.,472.3969
126.,471.8857
127.,471.8
128.,471.7952
129.,471.7929
130.,471.7265
131.,471.4485
132.,471.4223
133.,471.2706
134.,470.6095
135.,470.5362
136.,470.4746
137.,470.4155
138.,470.1058
139.,470.0702
140.,470.0206
141.,470.0089
142.,469.9923
143.,469.9901
144.,469.9945
145.,470.0135
146.,470.03
147.,470.0489
148.,470.068
149.,470.0868
150.,470.075
151.,470.0702
152.,470.0489
153.,470.0303
154.,470.127
155.,470.2098
156.,470.2831
157.,470.3399
158.,470.3658
159.,470.399
160.,470.4391
161.,470.6404
162.,470.7349
163.,471.3464
164.,471.463
165.,471.5695
166.,471.6624
167.,471.8621
168.,471.9046
169.,471.9259
170.,471.902
171.,471.7311
172.,471.6643
173.,471.1971
174.,471.1401
175.,471.0311
176.,470.9718
177.,470.3729
178.,470.6969
179.,470.7088
180.,470.6899
181.,470.6497
182.,470.6425
183.,470.7043
184.,470.7137
185.,470.515
186.,470.5077
187.,470.5008
188.,470.503
189.,470.515
190.,470.5171
191.,470.5126
192.,470.5077
193.,470.5123
194.,470.5195
195.,470.7706
196.,471.3346
197.,471.4175
198.,471.5912
199.,471.6859
200.,472.4447
201.,472.5566
202.,473.2336
