x0000,y0000
0.,470.1625
1.,470.1647
2.,470.1671
3.,470.1671
4.,470.1672
5.,470.1696
6.,470.1695
7.,470.1717
8.,470.172
9.,470.1696
10.,470.1696
11.,470.1672
12.,470.1647
13.,470.1671
14.,470.1599
15.,470.1599
16.,470.1529
17.,470.1481
18.,470.1435
19.,470.1412
20.,470.1268
21.,470.1221
22.,470.1151
23.,470.1103
24.,470.1056
25.,470.1011
26.,470.0844
27.,470.0797
28.,470.0726
29.,470.0702
30.,470.068
31.,470.0585
32.,470.0562
33.,470.0515
34.,470.0323
35.,470.0254
36.,469.9877
37.,469.9804
38.,469.9592
39.,469.9521
40.,469.938
41.,469.9357
42.,469.9309
43.,469.9238
44.,469.9098
45.,469.9072
46.,469.8882
47.,469.8812
48.,469.8741
49.,469.8717
50.,469.8435
51.,469.8412
52.,469.8293
53.,469.8268
54.,469.8198
55.,469.8153
56.,469.8105
57.,469.8082
58.,469.7986
59.,469.7915
60.,469.7868
61.,469.7798
62.,469.775
63.,469.7727
64.,469.7678
65.,469.7655
66.,469.7584
67.,469.7561
68.,469.7348
69.,469.7325
70.,469.709
71.,469.7041
72.,469.7018
73.,469.697
74.,469.6946
75.,469.6878
76.,469.6805
77.,469.6782
78.,469.6688
79.,469.6616
80.,469.6429
81.,469.6382
82.,469.631
83.,469.6262
84.,469.6192
85.,469.6169
86.,469.6074
87.,469.6027
88.,469.5931
89.,469.5931
90.,469.5814
91.,469.5767
92.,469.5698
93.,469.5649
94.,469.5484
95.,469.5438
96.,469.5343
97.,469.532
98.,469.5273
99.,469.5225
100.,469.506
101.,469.4989
102.,469.4965
103.,469.4942
104.,469.4869
105.,469.4847
106.,469.4683
107.,469.466
108.,469.466
109.,469.4613
110.,469.4423
111.,469.4423
112.,469.4399
113.,469.4352
114.,469.4305
115.,469.4282
116.,469.4187
117.,469.4187
118.,469.4165
119.,469.4141
120.,469.4117
121.,469.4094
122.,469.4023
123.,469.3998
124.,469.3974
125.,469.3951
126.,469.3905
127.,469.3881
128.,469.3833
129.,469.3835
130.,469.381
131.,469.3764
132.,469.3715
133.,469.3692
134.,469.3668
135.,469.3668
136.,469.3646
137.,469.3622
138.,469.3622
139.,469.3598
140.,469.3503
141.,469.3503
142.,469.3479
143.,469.3479
144.,469.3479
145.,469.3479
146.,469.3409
147.,469.3409
148.,469.3385
149.,469.3363
150.,469.3362
151.,469.3362
152.,469.3337
153.,469.3339
154.,469.3268
155.,469.3268
156.,469.322
157.,469.3222
158.,469.322
159.,469.322
160.,469.3173
161.,469.3173
162.,469.3149
163.,469.3151
164.,469.3127
165.,469.3127
166.,469.3127
167.,469.3103
168.,469.3103
169.,469.3103
170.,469.3127
171.,469.3103
172.,469.3056
173.,469.3056
174.,469.3056
175.,469.3032
176.,469.3009
177.,469.3031
178.,469.3008
179.,469.3009
180.,469.3009
181.,469.3009
182.,469.3009
183.,469.2986
184.,469.3008
185.,469.3032
186.,469.3032
187.,469.3032
188.,469.3008
189.,469.2986
190.,469.2986
191.,469.3009
192.,469.3009
193.,469.3032
194.,469.3031
195.,469.3056
196.,469.3056
197.,469.3056
198.,469.3056
199.,469.308
200.,469.3103
201.,469.3077
202.,469.3103
203.,469.3127
204.,469.3149
205.,469.3173
206.,469.3149
207.,469.3149
208.,469.3197
209.,469.3197
210.,469.3197
211.,469.3197
212.,469.3222
213.,469.322
214.,469.3269
215.,469.3244
216.,469.3244
217.,469.3268
218.,469.3269
219.,469.3244
220.,469.3269
221.,469.3268
222.,469.3268
223.,469.3268
224.,469.3269
225.,469.329
226.,469.329
227.,469.3292
228.,469.3269
229.,469.3268
230.,469.3268
231.,469.3269
232.,469.3269
233.,469.3268
234.,469.3268
235.,469.3244
236.,469.3268
237.,469.3268
238.,469.3245
239.,469.3244
240.,469.3222
241.,469.322
242.,469.3245
243.,469.3244
244.,469.322
245.,469.3222
246.,469.322
247.,469.3245
248.,469.3244
249.,469.3245
250.,469.3244
251.,469.3222
252.,469.3244
253.,469.3222
254.,469.3197
255.,469.322
256.,469.3244
257.,469.3268
258.,469.3268
259.,469.3268
260.,469.3268
261.,469.3269
262.,469.3244
263.,469.3269
264.,469.329
265.,469.3315
266.,469.3316
