x0000,y0000
0.,471.6268
1.,471.6241
2.,471.6218
3.,471.6124
4.,471.6053
5.,471.6029
6.,471.5935
7.,471.5837
8.,471.572
9.,471.5648
10.,471.5554
11.,471.546
12.,471.5388
13.,471.5294
14.,471.5197
15.,471.5032
16.,471.496
17.,471.489
18.,471.4795
19.,471.4725
20.,471.463
21.,471.4556
22.,471.4465
23.,471.4391
24.,471.4296
25.,471.4249
26.,471.4199
27.,471.4131
28.,471.4061
29.,471.401
30.,471.3986
31.,471.3916
32.,471.3867
33.,471.3821
34.,471.3773
35.,471.3751
36.,471.3703
37.,471.3679
38.,471.3655
39.,471.3585
40.,471.3538
41.,471.3514
42.,471.344
43.,471.3393
44.,471.3346
45.,471.3275
46.,471.3251
47.,471.3157
48.,471.3087
49.,471.3039
50.,471.2992
51.,471.2942
52.,471.2847
53.,471.2802
54.,471.2729
55.,471.2682
56.,471.2611
57.,471.2517
58.,471.2469
59.,471.2398
60.,471.2328
61.,471.2257
62.,471.216
63.,471.2042
64.,471.1924
65.,471.1803
66.,471.1709
67.,471.1567
68.,471.1449
69.,471.1307
70.,471.1284
71.,471.1261
72.,471.1116
73.,471.0951
74.,471.0833
75.,471.0691
76.,471.0573
77.,471.0452
78.,471.0334
79.,471.0264
80.,471.0145
81.,471.0024
82.,470.9884
83.,470.9789
84.,470.9718
85.,470.96
86.,470.9529
87.,470.9412
88.,470.9294
89.,470.9197
90.,470.9102
91.,470.9008
92.,470.8937
93.,470.889
94.,470.8796
95.,470.8699
96.,470.8651
97.,470.8607
98.,470.8557
99.,470.8534
100.,470.8486
101.,470.8486
102.,470.8486
103.,470.8463
104.,470.8393
105.,470.8369
106.,470.8369
107.,470.839
108.,470.8342
109.,470.8369
110.,470.8345
111.,470.8345
112.,470.8369
113.,470.8345
114.,470.8321
115.,470.8321
116.,470.8345
117.,470.8345
118.,470.8342
119.,470.8318
120.,470.8295
121.,470.8345
122.,470.8321
123.,470.8345
124.,470.8345
125.,470.8369
126.,470.8345
127.,470.8369
128.,470.839
129.,470.8342
130.,470.8369
131.,470.8345
132.,470.8321
133.,470.8321
134.,470.8275
135.,470.825
136.,470.8179
137.,470.8154
138.,470.8083
139.,470.8061
140.,470.8012
141.,470.7966
142.,470.7894
143.,470.78
144.,470.7752
145.,470.7706
146.,470.7635
147.,470.754
148.,470.754
149.,470.7491
150.,470.7444
151.,470.7396
152.,470.7303
153.,470.7303
154.,470.7209
155.,470.7184
156.,470.7158
157.,470.7158
158.,470.7135
159.,470.7113
160.,470.7209
161.,470.7184
162.,470.7231
163.,470.7255
164.,470.7349
165.,470.7373
166.,470.742
167.,470.7491
168.,470.7539
169.,470.7563
170.,470.7612
171.,470.7706
172.,470.7706
173.,470.7776
174.,470.7823
175.,470.7894
176.,470.7966
177.,470.7966
178.,470.8012
179.,470.8085
180.,470.813
181.,470.8178
182.,470.8224
183.,470.8298
184.,470.8321
185.,470.8345
186.,470.8393
187.,470.8415
188.,470.8486
189.,470.851
190.,470.8581
191.,470.8581
192.,470.8605
193.,470.8628
194.,470.8651
195.,470.863
196.,470.8651
197.,470.8651
198.,470.8675
199.,470.8675
200.,470.8583
201.,470.8581
202.,470.8534
203.,470.8486
204.,470.8415
205.,470.8393
206.,470.8318
207.,470.8178
208.,470.8109
209.,470.8036
210.,470.7942
211.,470.7823
212.,470.7776
213.,470.7679
214.,470.7561
215.,470.7493
216.,470.742
217.,470.7373
218.,470.7279
219.,470.7209
220.,470.7135
221.,470.7064
222.,470.6993
223.,470.6973
224.,470.6949
225.,470.6899
226.,470.6828
227.,470.6781
228.,470.6733
229.,470.6686
230.,470.6686
231.,470.6637
232.,470.6592
233.,470.657
234.,470.6546
235.,470.6546
236.,470.6546
237.,470.6616
238.,470.6592
239.,470.6616
240.,470.6663
241.,470.6686
242.,470.6733
243.,470.6805
244.,470.6852
245.,470.6876
246.,470.6973
247.,470.7019
248.,470.7019
249.,470.7088
250.,470.7137
251.,470.716
252.,470.7231
253.,470.7255
254.,470.7279
255.,470.7303
256.,470.7349
257.,470.74
258.,470.742
259.,470.7467
260.,470.7515
261.,470.7515
262.,470.7563
263.,470.7635
264.,470.7658
265.,470.7752
266.,470.7729
267.,470.7776
268.,470.7847
269.,470.787
270.,470.7918
271.,470.8015
272.,470.8059
273.,470.8106
274.,470.8179
275.,470.825
276.,470.8345
277.,470.8415
278.,470.8534
279.,470.8651
280.,470.8702
281.,470.8842
282.,470.8937
283.,470.9032
284.,470.9126
285.,470.9244
286.,470.9341
287.,470.9388
288.,470.9506
289.,470.96
290.,470.9694
291.,470.9789
292.,470.9862
293.,470.9954
294.,471.0049
295.,471.0143
296.,471.0216
297.,471.0287
298.,471.0361
299.,471.0452
300.,471.0524
301.,471.0621
302.,471.0691
303.,471.0761
304.,471.0857
305.,471.0927
306.,471.1048
307.,471.1166
308.,471.1284
309.,471.1284
310.,471.1284
311.,471.1331
312.,471.1425
313.,471.1499
314.,471.1591
315.,471.1661
316.,471.1712
317.,471.1758
318.,471.1829
319.,471.1901
320.,471.1971
321.,471.1994
322.,471.2042
323.,471.2089
324.,471.2137
325.,471.2183
326.,471.2234
327.,471.2254
328.,471.2278
329.,471.2304
330.,471.2304
331.,471.2278
332.,471.2278
333.,471.228
334.,471.228
335.,471.2183
336.,471.2186
337.,471.2137
338.,471.2065
339.,471.1994
340.,471.1971
341.,471.1877
342.,471.1853
343.,471.1829
344.,471.1806
345.,471.1734
346.,471.1712
347.,471.1661
348.,471.1614
349.,471.1614
350.,471.1543
351.,471.1425
352.,471.1352
353.,471.1331
354.,471.1307
355.,471.1307
356.,471.1307
357.,471.1307
358.,471.1307
359.,471.1307
360.,471.1331
361.,471.1352
362.,471.1378
363.,471.1425
364.,471.1401
365.,471.1449
366.,471.1449
367.,471.1472
368.,471.1472
369.,471.1449
370.,471.1401
371.,471.1376
372.,471.1331
373.,471.1331
374.,471.1307
375.,471.1284
376.,471.1284
377.,471.1284
378.,471.1261
379.,471.1237
380.,471.1189
381.,471.1118
382.,471.1045
383.,471.0951
384.,471.0857
385.,471.0759
386.,471.0641
387.,471.0546
388.,471.0476
389.,471.0361
390.,471.0311
391.,471.0216
392.,471.0119
393.,471.0024
394.,470.9907
395.,470.9815
396.,470.9765
397.,470.9648
398.,470.9551
399.,470.9456
400.,470.9362
401.,470.9291
402.,470.9199
403.,470.9102
404.,470.9032
405.,470.8961
406.,470.8864
407.,470.8794
408.,470.8725
409.,470.8628
410.,470.8557
411.,470.851
412.,470.8415
413.,470.8345
414.,470.8298
415.,470.8275
416.,470.8227
417.,470.8201
418.,470.8154
419.,470.8106
420.,470.8085
421.,470.8083
422.,470.8083
423.,470.8036
424.,470.8012
425.,470.7988
426.,470.7988
427.,470.8012
428.,470.8012
429.,470.8039
430.,470.8109
431.,470.8106
432.,470.8178
433.,470.8203
434.,470.8227
435.,470.8275
436.,470.8298
437.,470.8369
438.,470.8415
439.,470.846
440.,470.851
441.,470.8534
442.,470.8557
443.,470.8628
444.,470.8651
445.,470.8702
446.,470.877
447.,470.877
448.,470.8817
449.,470.8866
450.,470.8914
451.,470.8937
452.,470.9005
453.,470.9032
454.,470.9032
455.,470.9032
456.,470.903
457.,470.9008
458.,470.8985
459.,470.8937
460.,470.8866
461.,470.8772
462.,470.8678
463.,470.8628
464.,470.851
465.,470.8369
466.,470.8275
467.,470.8179
468.,470.8083
469.,470.7918
470.,470.78
471.,470.7727
472.,470.7609
473.,470.7563
474.,470.7493
475.,470.742
476.,470.7422
477.,470.7373
478.,470.7303
479.,470.7231
480.,470.7209
481.,470.7137
482.,470.7113
483.,470.709
484.,470.7066
485.,470.7113
486.,470.7137
487.,470.7184
488.,470.7184
489.,470.7231
490.,470.7303
491.,470.7349
492.,470.7349
493.,470.742
494.,470.7446
495.,470.7444
496.,470.7446
497.,470.7467
498.,470.7491
499.,470.7517
500.,470.7561
501.,470.7539
502.,470.7517
503.,470.7493
504.,470.7467
505.,470.7444
506.,470.742
507.,470.7373
508.,470.7303
509.,470.7279
510.,470.7184
511.,470.716
512.,470.716
513.,470.716
514.,470.7279
515.,470.7467
516.,470.8133
517.,470.9244
518.,471.114
519.,471.6788
520.,472.4447
521.,472.9951
522.,473.4344
523.,473.7617
524.,473.9097
525.,473.848
526.,473.7545
527.,473.7521
528.,473.7355
529.,474.3481
530.,475.1442
531.,475.5981
532.,475.9835
533.,476.287
534.,476.2774
535.,476.0532
536.,475.9477
537.,475.8076
538.,475.5022
539.,475.1728
540.,474.8489
541.,474.5444
542.,474.3119
543.,474.1205
544.,474.1205
545.,474.2401
546.,474.3072
547.,474.3314
548.,474.3505
549.,474.3599
550.,474.3599
551.,474.3481
552.,474.3314
553.,474.3238
554.,474.3334
555.,474.3623
556.,474.4008
557.,474.4412
558.,474.4508
559.,474.4774
560.,474.506
561.,474.5206
562.,474.523
563.,474.5254
564.,474.5254
565.,474.5226
566.,474.5035
567.,474.4559
568.,474.4394
569.,474.3932
570.,474.3143
571.,474.1974
572.,474.0535
573.,473.8859
574.,473.707
575.,473.5511
576.,473.4222
577.,473.3197
578.,473.2336
579.,473.1859
580.,473.1337
581.,473.1025
582.,473.0764
583.,473.0594
584.,473.0404
585.,473.0262
586.,473.0116
587.,472.9951
588.,472.9808
589.,472.9618
590.,472.9381
591.,472.907
592.,472.8758
593.,472.8355
594.,472.7949
595.,472.7518
596.,472.7065
597.,472.6591
598.,472.6137
599.,472.5661
600.,472.5187
601.,472.4683
602.,472.4186
603.,472.3686
604.,472.3232
605.,472.2925
606.,472.2567
607.,472.2185
608.,472.1873
609.,472.1617
610.,472.14
611.,472.1188
612.,472.102
613.,472.0853
614.,472.0708
615.,472.0522
616.,472.0377
617.,472.0255
618.,472.0114
619.,471.9949
620.,471.9806
621.,471.9641
622.,471.9472
623.,471.933
624.,471.9141
625.,471.8949
626.,471.8712
627.,471.8523
628.,471.824
629.,471.7929
630.,471.7737
631.,471.7716
632.,471.7693
633.,471.7478
634.,471.7144
635.,471.6883
636.,471.667
637.,471.6457
638.,471.629
639.,471.6145
640.,471.5979
641.,471.5861
642.,471.5722
643.,471.5672
644.,471.5672
645.,471.5648
646.,471.5699
647.,471.5767
648.,471.5888
649.,471.6006
650.,471.6101
651.,471.6171
652.,471.6241
653.,471.6266
654.,471.6241
655.,471.6241
656.,471.6171
657.,471.6124
658.,471.6077
659.,471.5982
660.,471.5888
661.,471.5767
662.,471.5672
663.,471.5577
664.,471.546
665.,471.5342
666.,471.527
667.,471.5149
668.,471.5032
669.,471.4914
670.,471.4795
671.,471.4677
672.,471.4509
673.,471.4391
674.,471.4201
675.,471.4034
676.,471.3821
677.,471.3608
678.,471.3417
679.,471.3204
680.,471.2917
681.,471.2706
682.,471.2493
683.,471.2304
684.,471.2089
685.,471.1969
686.,471.1803
687.,471.1637
688.,471.1497
689.,471.1355
690.,471.1307
691.,471.1284
692.,471.1307
693.,471.1331
694.,471.1401
695.,471.152
696.,471.1661
697.,471.1803
698.,471.1924
699.,471.2065
700.,471.2234
701.,471.2372
702.,471.2469
703.,471.2541
704.,471.2635
705.,471.2682
706.,471.2729
707.,471.2753
708.,471.2777
709.,471.2779
710.,471.2753
711.,471.2777
712.,471.2777
713.,471.2777
714.,471.2755
715.,471.2777
716.,471.2732
717.,471.2706
718.,471.2682
719.,471.2682
720.,471.2635
721.,471.2611
722.,471.2587
723.,471.2517
724.,471.2493
725.,471.2446
726.,471.2422
727.,471.2352
728.,471.2254
729.,471.2207
730.,471.2139
731.,471.2065
732.,471.1971
733.,471.1947
734.,471.185
735.,471.1756
736.,471.164
737.,471.1543
738.,471.1472
739.,471.1355
740.,471.1307
741.,471.1284
742.,471.1284
743.,471.1284
744.,471.1213
745.,471.1142
746.,471.1072
747.,471.0997
748.,471.093
749.,471.0903
750.,471.0857
751.,471.0833
752.,471.0738
753.,471.0738
754.,471.0715
755.,471.0712
756.,471.0712
757.,471.0688
758.,471.0688
759.,471.0641
760.,471.0664
761.,471.0618
762.,471.0594
763.,471.0594
764.,471.0549
765.,471.0502
766.,471.0452
767.,471.0381
768.,471.0311
769.,471.0264
770.,471.0193
771.,471.0121
772.,471.0027
773.,470.9933
774.,470.9884
775.,470.9789
776.,470.9694
777.,470.9574
778.,470.948
779.,470.9362
780.,470.9267
781.,470.9197
782.,470.9102
783.,470.9008
784.,470.8914
785.,470.8818
786.,470.8772
787.,470.8699
788.,470.8675
789.,470.8605
790.,470.8581
791.,470.8557
792.,470.8557
793.,470.8534
794.,470.8534
795.,470.8534
796.,470.8534
797.,470.8581
798.,470.8557
799.,470.8534
800.,470.8557
801.,470.851
802.,470.8486
803.,470.8439
804.,470.8393
805.,470.8369
806.,470.8298
807.,470.8227
808.,470.8156
809.,470.8083
810.,470.8012
811.,470.7942
812.,470.7847
813.,470.7752
814.,470.7658
815.,470.7563
816.,470.7444
817.,470.7376
818.,470.7255
819.,470.716
820.,470.7043
821.,470.6995
822.,470.6922
823.,470.6758
824.,470.6663
825.,470.657
826.,470.6451
827.,470.6404
828.,470.638
829.,470.6378
830.,470.6378
831.,470.6401
832.,470.6356
833.,470.6354
834.,470.6307
835.,470.6262
836.,470.6213
837.,470.6213
838.,470.6165
839.,470.6144
840.,470.6165
841.,470.6071
842.,470.607
843.,470.6071
844.,470.6071
845.,470.6118
846.,470.6143
847.,470.6143
848.,470.6143
849.,470.6165
850.,470.6189
851.,470.6213
852.,470.631
853.,470.6237
854.,470.6286
855.,470.6307
856.,470.633
857.,470.6334
858.,470.633
859.,470.6354
860.,470.6356
861.,470.6356
862.,470.6378
863.,470.6354
864.,470.6334
865.,470.6356
866.,470.633
867.,470.6307
868.,470.6286
869.,470.626
870.,470.6216
871.,470.6213
872.,470.6143
873.,470.6143
874.,470.6071
875.,470.6047
876.,470.5998
877.,470.5977
878.,470.5929
879.,470.588
880.,470.5856
881.,470.5786
882.,470.5741
883.,470.5716
884.,470.5692
885.,470.5671
886.,470.5621
887.,470.5576
888.,470.555
889.,470.5526
890.,470.5477
891.,470.548
892.,470.5456
893.,470.5409
894.,470.5385
895.,470.5359
896.,470.5312
897.,470.5244
898.,470.5244
899.,470.5173
900.,470.5147
901.,470.5123
902.,470.5055
903.,470.5053
904.,470.4985
905.,470.4982
906.,470.4959
